g19_metal_state,extractant_system_key,nearest_radius_distance_A,n_neighbour_metals,condition_distance_system_mean,nearest_radius_metal,metal_class,mae,n_rows
Ce(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0.017,13,0,La(III),lanthanide,1.11021,10
Cm(III),CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,0.005,15,0,Am(III),actinide,0.9149,10
Cm(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.005,36,0.000131943,Am(III),actinide,0.511504,77
Dy(III),CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,0.023,5,7.26522e-05,Er(III),lanthanide,0.339374,60
Dy(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.012,14,0,Ho(III),lanthanide,0.351939,22
Dy(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.008,36,7.74826e-05,Y(III),lanthanide,0.483436,85
Dy(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,0.012,12,0,Ho(III),lanthanide,0.172232,16
Dy(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0.012,13,0,Ho(III),lanthanide,1.00734,10
Er(III),CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,0.019,5,0,Yb(III),lanthanide,0.343543,15
Er(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.01,14,0,Tm(III),lanthanide,0.336689,20
Er(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.01,36,8.95718e-05,Tm(III),lanthanide,0.239961,77
Er(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,0.011,12,0,Ho(III),lanthanide,0.207068,16
Er(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0.01,13,0,Tm(III),lanthanide,1.05689,10
Eu(III),CCCCCCCC(=O)N(CCCCCC)CCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.024,4,0,Am(III),lanthanide,0.466366,14
Eu(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.013,14,2.99069e-05,Sm(III),lanthanide,0.15589,22
Eu(III),CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,0.013,14,0.00474507,Sm(III),lanthanide,2.02771,20
Eu(III),CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,0.013,15,0.000119223,Sm(III),lanthanide,0.887866,13
Eu(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.013,36,0.0152031,Sm(III),lanthanide,1.25671,408
Eu(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOc1cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,0.024,4,0.000200168,Am(III),lanthanide,0.694679,16
Eu(III),CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,0.013,14,0,Sm(III),lanthanide,0.57313,13
Eu(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,0.013,12,1.53196,Sm(III),lanthanide,2.54028,157
Eu(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0.013,13,0,Sm(III),lanthanide,1.07708,10
Gd(III),CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,0.026,5,0,Dy(III),lanthanide,0.319284,15
Gd(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.013,14,0,Tb(III),lanthanide,0.132513,22
Gd(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.013,36,5.12194e-05,Tb(III),lanthanide,0.3714,120
Gd(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,0.013,12,0,Tb(III),lanthanide,0.425761,16
Gd(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0.013,13,0,Tb(III),lanthanide,1.03641,10
Ho(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.011,14,1.08791e-05,Er(III),lanthanide,0.219431,21
Ho(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.004,36,0.00010594,Y(III),lanthanide,0.468607,82
Ho(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,0.011,12,0,Er(III),lanthanide,0.169658,16
Ho(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0.011,13,0,Er(III),lanthanide,1.00548,10
La(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.017,14,0,Ce(III),lanthanide,0.371224,22
La(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.01,36,4.16826e-05,Bi(III),lanthanide,0.990525,88
La(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,0.017,12,0,Ce(III),lanthanide,0.417849,16
La(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0.017,13,0,Ce(III),lanthanide,1.14018,10
Lu(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.008,14,1.89262e-05,Yb(III),lanthanide,0.300691,22
Lu(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.008,36,0.000292561,Yb(III),lanthanide,0.329107,90
Lu(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,0.008,12,0,Yb(III),lanthanide,0.165655,16
Lu(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0.008,13,0,Yb(III),lanthanide,1.06865,10
Nd(III),CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0.017,20,0.0304806,Pr(III),lanthanide,0.423295,12
Nd(III),CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,0.03,5,0,Sm(III),lanthanide,0.570753,14
Np(IV),CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,0.02,10,0.0111905,Pu(IV),actinide,0.459853,22
Np(IV),CCCCCCCC(=O)N(CCCCCC)CCCCCC,0.02,9,0.00171719,Pu(IV),actinide,0.702625,38
Np(IV),CCCCN(CCCC)C(=O)CCC,0.02,5,0.0117258,Pu(IV),actinide,0.810667,11
Np(V),CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0.02,20,0.000344801,U(VI),actinide,0.97654,21
Np(V),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.02,36,0.00049789,U(VI),actinide,1.13387,19
Np(V),CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.02,17,0.00101138,U(VI),actinide,0.478978,10
Np(VI),CCCCCCCC(=O)N(CCCCCC)CCCCCC,0.01,9,0.0109349,Pu(VI),actinide,0.380669,15
Pu(III),CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)(C)C,0.13,5,0,Np(IV),actinide,1.50856,20
Pu(III),CCCCCCCC(=O)N(CCCCCC)CCCCCC,0.025,9,0.00241961,Am(III),actinide,1.36984,27
Pu(IV),CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,0.02,10,0.0827816,Np(IV),actinide,0.883717,10
Pu(IV),CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)(C)C,0.02,5,0,Np(IV),actinide,0.81171,13
Pu(IV),CCCCCCCC(=O)N(CCCCCC)CCCCCC,0.02,9,0.0457115,Np(IV),actinide,0.821288,90
Pu(IV),CCCCCCCC(=O)N(CCCCCC)CCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.1,4,5.0097e-05,U(VI),actinide,1.11872,14
Pu(IV),CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,0.067,11,0,Dy(III),actinide,0.938383,14
Pu(IV),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.04,36,0.00874047,U(IV),actinide,0.998587,22
Pu(VI),CCCCCCCC(=O)N(CCCCCC)CCCCCC,0.01,9,0.00795726,Np(VI),actinide,0.333123,16
Pu(VI),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.02,36,0.0046042,U(VI),actinide,1.77113,11
Sm(III),CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,0.026,5,0,Gd(III),lanthanide,0.379772,15
Sm(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.011,14,0,Am(III),lanthanide,0.743218,22
Sm(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.011,36,1.00298e-07,Am(III),lanthanide,0.601592,70
Sm(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,0.013,12,0,Eu(III),lanthanide,0.302291,16
Sm(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0.013,13,0,Eu(III),lanthanide,1.03757,10
Sr(II),CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0.16,20,0.042356,Ba(II),other,1.00764,17
Sr(II),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.03,36,0.00728653,Pb(II),other,0.760905,60
Tb(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.013,14,0,Gd(III),lanthanide,0.139302,21
Tb(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.013,36,8.89324e-06,Gd(III),lanthanide,0.333684,87
Tb(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,0.013,12,0,Gd(III),lanthanide,0.292976,16
Tb(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0.013,13,0,Gd(III),lanthanide,1.03653,10
Th(IV),CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,0.07,10,0,Np(IV),actinide,0.285036,20
Th(IV),CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0.09,20,0.0355852,Pu(IV),actinide,1.03442,32
Th(IV),CCCCCCCC(=O)N(CCCCCC)CCCCCC,0.07,9,0.00504312,Np(IV),actinide,1.54641,21
Th(IV),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.05,36,0.133278,U(IV),actinide,1.02532,46
Th(IV),CCCCN(CCCC)C(=O)CCC,0.07,5,0.0308668,Np(IV),actinide,1.59813,11
Th(IV),CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.003,17,0.00133614,Gd(III),actinide,0.840889,15
Tm(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.009,14,0,Yb(III),lanthanide,0.107427,19
Tm(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.009,36,0.000108566,Yb(III),lanthanide,0.205288,76
Tm(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0.009,13,0,Yb(III),lanthanide,1.00748,10
U(VI),CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)(C)C,0.01,5,0.458675,Np(VI),actinide,0.685382,44
U(VI),CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0.1,20,0.000416274,Pu(IV),actinide,1.3142,27
U(VI),CCCCCCCC(=O)N(CCCCCC)CCCCCC,0.01,9,0.237806,Np(VI),actinide,0.502823,198
U(VI),CCCCCCCC(=O)N(CCCCCC)CCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.1,4,0.00168953,Pu(IV),actinide,1.15197,14
U(VI),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.02,36,0.0393748,Pu(VI),actinide,1.06814,48
U(VI),CCCCN(CCCC)C(=O)CCC,0.01,5,0.00306218,Np(VI),actinide,0.637406,13
U(VI),CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.117,17,0.000823965,Lu(III),actinide,2.07478,10
Yb(III),CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,0.019,5,9.13809e-05,Er(III),lanthanide,0.533492,15
Yb(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.008,14,4.39996e-05,Lu(III),lanthanide,0.147104,21
Yb(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.008,36,5.29218e-05,Lu(III),lanthanide,0.202251,69
Yb(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,0.008,12,0,Lu(III),lanthanide,0.175674,16
Yb(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0.008,13,0,Lu(III),lanthanide,1.00123,10
