item,quantity,report_value,artefact,artefact_value,verdict
7,rows in L4,,computed,515,info
7,rows in L5,,computed,230,info
7,BH q L3a G14_saved_vs_0 min,0.02,recomputed BH over 126,0.02016,match
7,BH q L3a G14_saved_vs_0 max,0.042,recomputed BH over 126,0.042,match
7,raw p L3a G14_saved_vs_0,,computed,0.004-0.01,info
7,BH q MIX6meanPC@k3 min,0.0,recomputed BH over 126,0.0,match
7,BH q MIX6meanPC@k3 max,0.001,recomputed BH over 126,0.0,match
7,raw p MIX6meanPC@k3,,computed,0-0,info
7,BH q LOWRANK2@k2 min,0.011,recomputed BH over 126,0.0105,match
7,BH q LOWRANK2@k2 max,0.547,recomputed BH over 126,0.5469692307692308,match
7,raw p LOWRANK2@k2,,computed,0.002-0.3362,info
7,BH q L2 gate min,0.08,recomputed BH over 126,0.080325,match
7,BH q L2 gate max,0.246,recomputed BH over 126,0.24627272727272728,match
7,raw p L2 gate,,computed,0.0306-0.129,info
7,BH q L4 AOPT min,0.0,recomputed BH over 126,0.0,match
7,BH q L4 AOPT max,0.993,recomputed BH over 126,0.9932832,match
7,raw p L4 AOPT,,computed,0-0.9738,info
7,BH q L3c value=regret,,recomputed BH over 126,0.5470-0.9970 (raw 0.335-0.997),info
7,BH q L3c value=spearman,,recomputed BH over 126,0.0482-0.0762 (raw 0.013-0.026),info
7,"BH q over all 940, L3a BP",0.025,recomputed BH over 940,0.02525373134328358,match
7,"BH q over 126, L3a BP (CONFIRMATION says 0.039)",0.039,recomputed BH over 126,0.03910344827586207,match
7,L1 registered rows,2,computed,2,match
7,L1 registered q within its own family (report says 0.518),0.518,contrasts_stage1 p_bh_within_family,0.5178778229378215,match
8,excluded compounds,100,excluded_extractants,100,match
8,excluded with n_publications == 1,91,excluded_extractants,91,match
8,distinct publications spanned by the 100,23,bundle+gen6 provenance,23,match
8,largest publication's share of the 100,52,bundle+gen6 provenance,52,match
9,L2 BP bca_low,5.7e-06,gate_contrasts,5.735490852111823e-06,match
9,L2 BP bca_high (report +0.0544),0.0544,gate_contrasts,0.054448774643867,match
9,L2 BP percentile ci low,-0.0013,gate_contrasts,-0.0013004305051371,match
9,L2 BP percentile ci high,0.0532,gate_contrasts,0.0531941393250933,match
9,L2 BP point,0.0287,gate_contrasts,0.0286988177633845,match
9,L2 BP p,0.061,gate_contrasts,0.0608,match
9,L2 BP mde_80,0.0386,gate_contrasts,0.0386477706864434,match
9,L2 BP units improved,61,gate_contrasts,61,match
9,designs whose percentile CI excludes zero,A,gate_contrasts,A,match
9,designs whose BCa CI excludes zero,,gate_contrasts,"A,BP",info
10,BP RAW brier,0.1666,calibration_direction,0.1666259201117082,match
10,BP RAW ece,0.1393,calibration_direction,0.1392514109188577,match
10,BP RAW macro accuracy,0.821,calibration_direction,0.8205036426987646,match
10,BP PLATT brier,0.255,calibration_direction,0.2550018449588489,match
10,BP PLATT ece,0.3012,calibration_direction,0.3011594696442331,match
10,BP CONST brier,0.3128,calibration_direction,0.312817943358637,match
10,PLATT ece worse than RAW in all five designs,True,calibration_direction,True,match
10,RAW brier beats CONST in all five designs,True,calibration_direction,True,match
11,headline says 'Every other lead closed' while L1 is undecided,absent,DECISION_REPORT headline,present,MISMATCH
11,'L1 having closed' still asserted in body,absent,DECISION_REPORT L228,present,MISMATCH
11,"'not closed, not positive' still used as a verdict",absent,STATUS Phase-4 paragraph,present,MISMATCH
11,fold-purity dent carried in the headline (STATUS claims it is),present,DECISION_REPORT headline block,absent,MISMATCH
11,guardrail 1 arithmetic: +1.91 of 6.91 as a percentage,28.8,computed,27.6,MISMATCH
11,L2 'underpowered by design' present in headline/§5/§9,3,DECISION_REPORT,4,MISMATCH
12,REFUTATION_LOG §2 item 4 -> '§4 of the lead's own report',decision rule,results/L3/L3_REPORT.md §4,'4. Loop-validity checks' (no decision-rule text),MISMATCH
12,CONFIRMATION §2 paraphrase of PRE_REGISTRATION §4,passed its registered decision rule,PRE_REGISTRATION.md §4,passed P1,MISMATCH
2,"rows in L1's registered family clearing the bar, target b",0 (report: 'nothing clears'),contrasts_stage1 clears_familywise_bar,"1 (NAIVE slope S14 vs b, chemotype rho 0.7503 > bar 0.6044, familywise p 0.003)",MISMATCH
7,report itemisation 'L1 90 rows (4 models x 3 sets x 3 targets)',90,computed,4*3*3 = 36; the file is 5 models x 3 sets x 3 targets x 2 coefficients = 90,MISMATCH
