job,half,arm,fallback_level,n_row_entries,share_of_arm_half
V2__element,confirmation,B3l,B2:expert,4,0.000713903
V2__element,confirmation,B3l,B2:family,179,0.0319472
V2__element,confirmation,B3l,B2:system,5420,0.967339
V2__element,confirmation,B3x,B2:expert,4,0.000713903
V2__element,confirmation,B3x,B2:family,179,0.0319472
V2__element,confirmation,B3x,B3x,5420,0.967339
V2__element,confirmation,B4,B0,103,0.018383
V2__element,confirmation,B4,B2:expert,333,0.0594324
V2__element,confirmation,B4,B2:family,1704,0.304123
V2__element,confirmation,B4,B2:system,7,0.00124933
V2__element,confirmation,B4,B4x,3456,0.616812
V2__element,confirmation,B4l,B0,103,0.018383
V2__element,confirmation,B4l,B2:expert,333,0.0594324
V2__element,confirmation,B4l,B2:family,1704,0.304123
V2__element,confirmation,B4l,B2:system,3463,0.618062
V2__element,confirmation,B4x,B0,103,0.018383
V2__element,confirmation,B4x,B2:expert,333,0.0594324
V2__element,confirmation,B4x,B2:family,1704,0.304123
V2__element,confirmation,B4x,B2:system,7,0.00124933
V2__element,confirmation,B4x,B4x,3456,0.616812
V2__element,confirmation,B7,B2:expert,4,0.000713903
V2__element,confirmation,B7,B2:family,179,0.0319472
V2__element,confirmation,B7,B3x,117,0.0208817
V2__element,confirmation,B7,B7,5303,0.946457
V2__element,selection,B0,B0,4543,1
V2__element,selection,B1,B0,4543,1
V2__element,selection,B2,B2:family,149,0.0327977
V2__element,selection,B2,B2:system,4394,0.967202
V2__element,selection,B3,B2:family,149,0.0327977
V2__element,selection,B3,B3x,4394,0.967202
V2__element,selection,B3i,B2:family,149,0.0327977
V2__element,selection,B3i,B3i,1788,0.393573
V2__element,selection,B3i,B3x,2606,0.57363
V2__element,selection,B3l,B2:family,149,0.0327977
V2__element,selection,B3l,B2:system,4394,0.967202
V2__element,selection,B3x,B2:family,149,0.0327977
V2__element,selection,B3x,B3x,4394,0.967202
V2__element,selection,B4,B0,8,0.00176095
V2__element,selection,B4,B2:expert,118,0.025974
V2__element,selection,B4,B2:family,1302,0.286595
V2__element,selection,B4,B2:system,7,0.00154083
V2__element,selection,B4,B4x,3108,0.684129
V2__element,selection,B4l,B0,8,0.00176095
V2__element,selection,B4l,B2:expert,118,0.025974
V2__element,selection,B4l,B2:family,1302,0.286595
V2__element,selection,B4l,B2:system,3115,0.68567
V2__element,selection,B4x,B0,8,0.00176095
V2__element,selection,B4x,B2:expert,118,0.025974
V2__element,selection,B4x,B2:family,1302,0.286595
V2__element,selection,B4x,B2:system,7,0.00154083
V2__element,selection,B4x,B4x,3108,0.684129
V2__element,selection,B7,B2:family,149,0.0327977
V2__element,selection,B7,B3x,14,0.00308166
V2__element,selection,B7,B7,4380,0.964121
V5PAIR__primary,confirmation,B0,B0,6448,1
V5PAIR__primary,confirmation,B1,B1:state,6448,1
V5PAIR__primary,confirmation,B2,B2:system,6448,1
V5PAIR__primary,confirmation,B3,B3x,6448,1
V5PAIR__primary,confirmation,B3i,B3i,4152,0.643921
V5PAIR__primary,confirmation,B3i,B3x,2296,0.356079
V5PAIR__primary,confirmation,B3l,B3l,6448,1
V5PAIR__primary,confirmation,B3x,B3x,6448,1
V5PAIR__primary,confirmation,B4,B4l,2086,0.323511
V5PAIR__primary,confirmation,B4,B4x,4362,0.676489
V5PAIR__primary,confirmation,B4l,B4l,6448,1
V5PAIR__primary,confirmation,B4x,B2:expert,982,0.152295
V5PAIR__primary,confirmation,B4x,B2:family,1104,0.171216
V5PAIR__primary,confirmation,B4x,B4x,4362,0.676489
V5PAIR__primary,confirmation,B7,B7,6448,1
V5PAIR__primary,selection,B0,B0,33546,1
V5PAIR__primary,selection,B1,B1:state,33546,1
V5PAIR__primary,selection,B2,B2:system,33546,1
V5PAIR__primary,selection,B3,B3x,33546,1
V5PAIR__primary,selection,B3i,B3i,29778,0.887677
V5PAIR__primary,selection,B3i,B3x,3768,0.112323
V5PAIR__primary,selection,B3l,B3l,33546,1
V5PAIR__primary,selection,B3x,B3x,33546,1
V5PAIR__primary,selection,B4,B4l,2143,0.0638824
V5PAIR__primary,selection,B4,B4x,31403,0.936118
V5PAIR__primary,selection,B4l,B2:system,27,0.000804865
V5PAIR__primary,selection,B4l,B4l,33519,0.999195
V5PAIR__primary,selection,B4x,B2:expert,111,0.00330889
V5PAIR__primary,selection,B4x,B2:family,2032,0.0605735
V5PAIR__primary,selection,B4x,B4x,31403,0.936118
V5PAIR__primary,selection,B7,B3x,70,0.00208669
V5PAIR__primary,selection,B7,B7,33476,0.997913
V5P__base,confirmation,B0,B0,1520,1
V5P__base,confirmation,B1,B1:state,1520,1
V5P__base,confirmation,B2,B2:system,1520,1
V5P__base,confirmation,B3,B3x,1520,1
V5P__base,confirmation,B3i,B3i,335,0.220395
V5P__base,confirmation,B3i,B3x,1185,0.779605
V5P__base,confirmation,B3l,B3l,1520,1
V5P__base,confirmation,B3x,B3x,1520,1
V5P__base,confirmation,B4,B4x,1520,1
V5P__base,confirmation,B4l,B4l,1520,1
V5P__base,confirmation,B4x,B4x,1520,1
V5P__base,confirmation,B7,B7,1520,1
V5P__base,selection,B0,B0,3301,1
V5P__base,selection,B1,B1:state,3301,1
V5P__base,selection,B2,B2:system,3301,1
V5P__base,selection,B3,B3x,3301,1
V5P__base,selection,B3i,B3i,2584,0.782793
V5P__base,selection,B3i,B3x,717,0.217207
V5P__base,selection,B3l,B3l,3301,1
V5P__base,selection,B3x,B3x,3301,1
V5P__base,selection,B4,B4x,3301,1
V5P__base,selection,B4l,B4l,3301,1
V5P__base,selection,B4x,B4x,3301,1
V5P__base,selection,B7,B3x,235,0.0711905
V5P__base,selection,B7,B7,3066,0.928809
V5__loose,confirmation,B0,B0,3254,1
V5__loose,confirmation,B1,B1:state,3254,1
V5__loose,confirmation,B2,B2:system,3254,1
V5__loose,confirmation,B3,B3l,21,0.0064536
V5__loose,confirmation,B3,B3x,3233,0.993546
V5__loose,confirmation,B3i,B2:system,21,0.0064536
V5__loose,confirmation,B3i,B3i,1124,0.345421
V5__loose,confirmation,B3i,B3x,2109,0.648125
V5__loose,confirmation,B3l,B3l,3254,1
V5__loose,confirmation,B3x,B2:system,21,0.0064536
V5__loose,confirmation,B3x,B3x,3233,0.993546
V5__loose,confirmation,B4,B2:system,21,0.0064536
V5__loose,confirmation,B4,B4l,739,0.227105
V5__loose,confirmation,B4,B4x,2494,0.766441
V5__loose,confirmation,B4l,B2:system,21,0.0064536
V5__loose,confirmation,B4l,B4l,3233,0.993546
V5__loose,confirmation,B4x,B2:expert,174,0.0534726
V5__loose,confirmation,B4x,B2:family,565,0.173632
V5__loose,confirmation,B4x,B2:system,21,0.0064536
V5__loose,confirmation,B4x,B4x,2494,0.766441
V5__loose,confirmation,B7,B2:system,21,0.0064536
V5__loose,confirmation,B7,B7,3233,0.993546
V5__loose,selection,B0,B0,4512,1
V5__loose,selection,B1,B1:state,4512,1
V5__loose,selection,B2,B2:system,4512,1
V5__loose,selection,B3,B3l,6,0.00132979
V5__loose,selection,B3,B3x,4506,0.99867
V5__loose,selection,B3i,B2:system,6,0.00132979
V5__loose,selection,B3i,B3i,3203,0.709885
V5__loose,selection,B3i,B3x,1303,0.288785
V5__loose,selection,B3l,B3l,4512,1
V5__loose,selection,B3x,B2:system,6,0.00132979
V5__loose,selection,B3x,B3x,4506,0.99867
V5__loose,selection,B4,B2:family,13,0.00288121
V5__loose,selection,B4,B2:system,6,0.00132979
V5__loose,selection,B4,B4l,573,0.126995
V5__loose,selection,B4,B4x,3920,0.868794
V5__loose,selection,B4l,B2:family,13,0.00288121
V5__loose,selection,B4l,B2:system,28,0.00620567
V5__loose,selection,B4l,B4l,4471,0.990913
V5__loose,selection,B4x,B2:expert,81,0.0179521
V5__loose,selection,B4x,B2:family,505,0.111924
V5__loose,selection,B4x,B2:system,6,0.00132979
V5__loose,selection,B4x,B4x,3920,0.868794
V5__loose,selection,B7,B2:system,6,0.00132979
V5__loose,selection,B7,B3x,7,0.00155142
V5__loose,selection,B7,B7,4499,0.997119
V5__hno3_only,confirmation,B0,B0,2650,1
V5__hno3_only,confirmation,B1,B1:state,2650,1
V5__hno3_only,confirmation,B2,B2:system,2650,1
V5__hno3_only,confirmation,B3,B3x,2650,1
V5__hno3_only,confirmation,B3i,B3i,916,0.34566
V5__hno3_only,confirmation,B3i,B3x,1734,0.65434
V5__hno3_only,confirmation,B3l,B3l,2650,1
V5__hno3_only,confirmation,B3x,B3x,2650,1
V5__hno3_only,confirmation,B4,B4l,399,0.150566
V5__hno3_only,confirmation,B4,B4x,2251,0.849434
V5__hno3_only,confirmation,B4l,B4l,2650,1
V5__hno3_only,confirmation,B4x,B2:expert,174,0.0656604
V5__hno3_only,confirmation,B4x,B2:family,225,0.0849057
V5__hno3_only,confirmation,B4x,B4x,2251,0.849434
V5__hno3_only,confirmation,B7,B7,2650,1
V5__hno3_only,selection,B0,B0,3536,1
V5__hno3_only,selection,B1,B1:state,3536,1
V5__hno3_only,selection,B2,B2:system,3536,1
V5__hno3_only,selection,B3,B3x,3536,1
V5__hno3_only,selection,B3i,B3i,2538,0.71776
V5__hno3_only,selection,B3i,B3x,998,0.28224
V5__hno3_only,selection,B3l,B3l,3536,1
V5__hno3_only,selection,B3x,B3x,3536,1
V5__hno3_only,selection,B4,B4l,182,0.0514706
V5__hno3_only,selection,B4,B4x,3354,0.948529
V5__hno3_only,selection,B4l,B2:system,9,0.00254525
V5__hno3_only,selection,B4l,B4l,3527,0.997455
V5__hno3_only,selection,B4x,B2:expert,23,0.00650452
V5__hno3_only,selection,B4x,B2:family,159,0.0449661
V5__hno3_only,selection,B4x,B4x,3354,0.948529
V5__hno3_only,selection,B7,B7,3536,1
V5__cell_only,confirmation,B0,B0,2722,1
V5__cell_only,confirmation,B1,B1:state,2722,1
V5__cell_only,confirmation,B2,B2:system,2722,1
V5__cell_only,confirmation,B3,B3x,2722,1
V5__cell_only,confirmation,B3i,B3i,964,0.354151
V5__cell_only,confirmation,B3i,B3x,1758,0.645849
V5__cell_only,confirmation,B3l,B3l,2722,1
V5__cell_only,confirmation,B3x,B3x,2722,1
V5__cell_only,confirmation,B4,B4l,471,0.173035
V5__cell_only,confirmation,B4,B4x,2251,0.826965
V5__cell_only,confirmation,B4l,B4l,2722,1
V5__cell_only,confirmation,B4x,B2:expert,174,0.0639236
V5__cell_only,confirmation,B4x,B2:family,297,0.109111
V5__cell_only,confirmation,B4x,B4x,2251,0.826965
V5__cell_only,confirmation,B7,B7,2722,1
V5__cell_only,selection,B0,B0,4101,1
V5__cell_only,selection,B1,B1:state,4101,1
V5__cell_only,selection,B2,B2:system,4101,1
V5__cell_only,selection,B3,B3x,4101,1
V5__cell_only,selection,B3i,B3i,3004,0.732504
V5__cell_only,selection,B3i,B3x,1097,0.267496
V5__cell_only,selection,B3l,B3l,4101,1
V5__cell_only,selection,B3x,B3x,4101,1
V5__cell_only,selection,B4,B4l,316,0.0770544
V5__cell_only,selection,B4,B4x,3785,0.922946
V5__cell_only,selection,B4l,B2:system,9,0.00219459
V5__cell_only,selection,B4l,B4l,4092,0.997805
V5__cell_only,selection,B4x,B2:expert,23,0.00560839
V5__cell_only,selection,B4x,B2:family,293,0.071446
V5__cell_only,selection,B4x,B4x,3785,0.922946
V5__cell_only,selection,B7,B3x,7,0.0017069
V5__cell_only,selection,B7,B7,4094,0.998293
V5__parent_structure,confirmation,B0,B0,2722,1
V5__parent_structure,confirmation,B1,B1:state,2722,1
V5__parent_structure,confirmation,B2,B2:system,2722,1
V5__parent_structure,confirmation,B3,B3x,2722,1
V5__parent_structure,confirmation,B3i,B3i,964,0.354151
V5__parent_structure,confirmation,B3i,B3x,1758,0.645849
V5__parent_structure,confirmation,B3l,B3l,2722,1
V5__parent_structure,confirmation,B3x,B3x,2722,1
V5__parent_structure,confirmation,B4,B4l,471,0.173035
V5__parent_structure,confirmation,B4,B4x,2251,0.826965
V5__parent_structure,confirmation,B4l,B4l,2722,1
V5__parent_structure,confirmation,B4x,B2:expert,174,0.0639236
V5__parent_structure,confirmation,B4x,B2:family,297,0.109111
V5__parent_structure,confirmation,B4x,B4x,2251,0.826965
V5__parent_structure,confirmation,B7,B7,2722,1
V5__parent_structure,selection,B0,B0,4101,1
V5__parent_structure,selection,B1,B1:state,4101,1
V5__parent_structure,selection,B2,B2:system,4101,1
V5__parent_structure,selection,B3,B3x,4101,1
V5__parent_structure,selection,B3i,B3i,3004,0.732504
V5__parent_structure,selection,B3i,B3x,1097,0.267496
V5__parent_structure,selection,B3l,B3l,4101,1
V5__parent_structure,selection,B3x,B3x,4101,1
V5__parent_structure,selection,B4,B4l,316,0.0770544
V5__parent_structure,selection,B4,B4x,3785,0.922946
V5__parent_structure,selection,B4l,B2:system,9,0.00219459
V5__parent_structure,selection,B4l,B4l,4092,0.997805
V5__parent_structure,selection,B4x,B2:expert,23,0.00560839
V5__parent_structure,selection,B4x,B2:family,293,0.071446
V5__parent_structure,selection,B4x,B4x,3785,0.922946
V5__parent_structure,selection,B7,B3x,7,0.0017069
V5__parent_structure,selection,B7,B7,4094,0.998293
V5__sr_iii_dropped_training,confirmation,B0,B0,2722,1
V5__sr_iii_dropped_training,confirmation,B1,B1:state,2722,1
V5__sr_iii_dropped_training,confirmation,B2,B2:system,2722,1
V5__sr_iii_dropped_training,confirmation,B3,B3x,2722,1
V5__sr_iii_dropped_training,confirmation,B3i,B3i,964,0.354151
V5__sr_iii_dropped_training,confirmation,B3i,B3x,1758,0.645849
V5__sr_iii_dropped_training,confirmation,B3l,B3l,2722,1
V5__sr_iii_dropped_training,confirmation,B3x,B3x,2722,1
V5__sr_iii_dropped_training,confirmation,B4,B4l,471,0.173035
V5__sr_iii_dropped_training,confirmation,B4,B4x,2251,0.826965
V5__sr_iii_dropped_training,confirmation,B4l,B4l,2722,1
V5__sr_iii_dropped_training,confirmation,B4x,B2:expert,174,0.0639236
V5__sr_iii_dropped_training,confirmation,B4x,B2:family,297,0.109111
V5__sr_iii_dropped_training,confirmation,B4x,B4x,2251,0.826965
V5__sr_iii_dropped_training,confirmation,B7,B7,2722,1
V5__sr_iii_dropped_training,selection,B0,B0,4101,1
V5__sr_iii_dropped_training,selection,B1,B1:state,4101,1
V5__sr_iii_dropped_training,selection,B2,B2:system,4101,1
V5__sr_iii_dropped_training,selection,B3,B3x,4101,1
V5__sr_iii_dropped_training,selection,B3i,B3i,3004,0.732504
V5__sr_iii_dropped_training,selection,B3i,B3x,1097,0.267496
V5__sr_iii_dropped_training,selection,B3l,B3l,4101,1
V5__sr_iii_dropped_training,selection,B3x,B3x,4101,1
V5__sr_iii_dropped_training,selection,B4,B4l,316,0.0770544
V5__sr_iii_dropped_training,selection,B4,B4x,3785,0.922946
V5__sr_iii_dropped_training,selection,B4l,B2:system,9,0.00219459
V5__sr_iii_dropped_training,selection,B4l,B4l,4092,0.997805
V5__sr_iii_dropped_training,selection,B4x,B2:expert,23,0.00560839
V5__sr_iii_dropped_training,selection,B4x,B2:family,293,0.071446
V5__sr_iii_dropped_training,selection,B4x,B4x,3785,0.922946
V5__sr_iii_dropped_training,selection,B7,B3x,7,0.0017069
V5__sr_iii_dropped_training,selection,B7,B7,4094,0.998293
V5__strict,confirmation,B0,B0,1232,1
V5__strict,confirmation,B1,B1:state,1232,1
V5__strict,confirmation,B2,B2:system,1232,1
V5__strict,confirmation,B3,B3x,1232,1
V5__strict,confirmation,B3i,B3i,139,0.112825
V5__strict,confirmation,B3i,B3x,1093,0.887175
V5__strict,confirmation,B3l,B3l,1232,1
V5__strict,confirmation,B3x,B3x,1232,1
V5__strict,confirmation,B4,B4x,1232,1
V5__strict,confirmation,B4l,B4l,1232,1
V5__strict,confirmation,B4x,B4x,1232,1
V5__strict,confirmation,B7,B7,1232,1
V5__strict,selection,B0,B0,3063,1
V5__strict,selection,B1,B1:state,3063,1
V5__strict,selection,B2,B2:system,3063,1
V5__strict,selection,B3,B3x,3063,1
V5__strict,selection,B3i,B3i,2397,0.782566
V5__strict,selection,B3i,B3x,666,0.217434
V5__strict,selection,B3l,B3l,3063,1
V5__strict,selection,B3x,B3x,3063,1
V5__strict,selection,B4,B4x,3063,1
V5__strict,selection,B4l,B4l,3063,1
V5__strict,selection,B4x,B4x,3063,1
V5__strict,selection,B7,B3x,7,0.00228534
V5__strict,selection,B7,B7,3056,0.997715
V1__near_duplicate_key,confirmation,B0,B0,5329,1
V1__near_duplicate_key,confirmation,B1,B0,45,0.00844436
V1__near_duplicate_key,confirmation,B1,B1:element_unknown_state,44,0.00825671
V1__near_duplicate_key,confirmation,B1,B1:state,5240,0.983299
V1__near_duplicate_key,confirmation,B2,B2:expert,248,0.0465378
V1__near_duplicate_key,confirmation,B2,B2:family,1632,0.306249
V1__near_duplicate_key,confirmation,B2,B2:system,3449,0.647213
V1__near_duplicate_key,confirmation,B3,B2:family,27,0.00506662
V1__near_duplicate_key,confirmation,B3,B2:system,27,0.00506662
V1__near_duplicate_key,confirmation,B3,B3,2606,0.489022
V1__near_duplicate_key,confirmation,B3,B3l,1867,0.350347
V1__near_duplicate_key,confirmation,B3,B3x,802,0.150497
V1__near_duplicate_key,confirmation,B3i,B2:expert,248,0.0465378
V1__near_duplicate_key,confirmation,B3i,B2:family,1632,0.306249
V1__near_duplicate_key,confirmation,B3i,B2:system,41,0.00769375
V1__near_duplicate_key,confirmation,B3i,B3,2606,0.489022
V1__near_duplicate_key,confirmation,B3i,B3i,129,0.0242072
V1__near_duplicate_key,confirmation,B3i,B3x,673,0.12629
V1__near_duplicate_key,confirmation,B3l,B2:family,27,0.00506662
V1__near_duplicate_key,confirmation,B3l,B2:system,62,0.0116345
V1__near_duplicate_key,confirmation,B3l,B3,2606,0.489022
V1__near_duplicate_key,confirmation,B3l,B3l,2634,0.494277
V1__near_duplicate_key,confirmation,B3x,B2:expert,248,0.0465378
V1__near_duplicate_key,confirmation,B3x,B2:family,1632,0.306249
V1__near_duplicate_key,confirmation,B3x,B2:system,41,0.00769375
V1__near_duplicate_key,confirmation,B3x,B3,2606,0.489022
V1__near_duplicate_key,confirmation,B3x,B3x,802,0.150497
V1__near_duplicate_key,confirmation,B4,B2:family,27,0.00506662
V1__near_duplicate_key,confirmation,B4,B2:system,27,0.00506662
V1__near_duplicate_key,confirmation,B4,B4,2606,0.489022
V1__near_duplicate_key,confirmation,B4,B4l,1867,0.350347
V1__near_duplicate_key,confirmation,B4,B4x,802,0.150497
V1__near_duplicate_key,confirmation,B4l,B2:family,27,0.00506662
V1__near_duplicate_key,confirmation,B4l,B2:system,62,0.0116345
V1__near_duplicate_key,confirmation,B4l,B4,2606,0.489022
V1__near_duplicate_key,confirmation,B4l,B4l,2634,0.494277
V1__near_duplicate_key,confirmation,B4x,B2:expert,248,0.0465378
V1__near_duplicate_key,confirmation,B4x,B2:family,1632,0.306249
V1__near_duplicate_key,confirmation,B4x,B2:system,41,0.00769375
V1__near_duplicate_key,confirmation,B4x,B4,2606,0.489022
V1__near_duplicate_key,confirmation,B4x,B4x,802,0.150497
V1__near_duplicate_key,confirmation,B7,B2:expert,248,0.0465378
