design,unit,weight,half
V5_system,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,0,S
V5_system,CCCCC(CC)C(=O)N(CCCC)CCCC,1,C
V5_system,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)(C)C,3,S
V5_system,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,8,C
V5_system,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCC,7,C
V5_system,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,6,S
V5_system,CCCCC(CC)CN(CC(CC)CCCC)C(C)=O,0,S
V5_system,CCCCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0,C
V5_system,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,6,S
V5_system,CCCCCCCC(=O)N(CCCCCC)CCCCCC,8,S
V5_system,CCCCCCCC(=O)N(CCCCCC)CCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,4,S
V5_system,CCCCCCCCCC(=O)N(CCCCCC)CCCCCC,3,C
V5_system,CCCCCCCCCCCC(=O)N(CC)CC,0,C
V5_system,CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,2,C
V5_system,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,16,C
V5_system,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,12,C
V5_system,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,2,S
V5_system,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,6,C
V5_system,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,5,C
V5_system,CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,0,C
V5_system,CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,1,S
V5_system,CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,0,S
V5_system,CCCCCCCCN(C)C(=O)C(CCCCCC)(OCC)C(=O)N(C)CCCCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,9,C
V5_system,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,12,S
V5_system,CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,2,S
V5_system,CCCCCCCCN(CCCCCCCC)C(=O)CCCCCCC,0,C
V5_system,CCCCCCCCN(CCCCCCCC)C(=O)CN(C)CC(=O)N(CCCCCCCC)CCCCCCCC,0,S
V5_system,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,3,S
V5_system,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,21,S
V5_system,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|CCCCOP(=O)(OCCCC)OCCCC,2,C
V5_system,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOc1cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,2,S
V5_system,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,2,C
V5_system,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCc1c(CC)c(CCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c(CC)c(CCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1CC,2,C
V5_system,CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,0,S
V5_system,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC,0,S
V5_system,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,1,C
V5_system,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,2,S
V5_system,CCCCCCN(CCCCCC)C(=O)C(CC)CCCC,1,C
V5_system,CCCCCCN(CCCCCC)C(=O)CCCCC,3,C
V5_system,CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,4,C
V5_system,CCCCCN(CCCCC)C(=O)COCC(=O)N(CCCCC)CCCCC,6,C
V5_system,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,11,S
V5_system,CCCCN(CCCC)C(=O)C(C)(C)C,0,C
V5_system,CCCCN(CCCC)C(=O)CCC,3,S
V5_system,CCCCN(CCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCC)CCCC,0,C
V5_system,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,15,C
V5_system,CCCCN(CCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCC)CCCC)C(C)C)C(C)C,0,S
V5_system,CCCCOP(=O)(OCCCC)OCCCC,0,S
V5_system,CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,0,C
V5_system,CCN(CC)C(=O)COCC(=O)N(CC)CC,0,C
V5_system,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,4,S
V5_system,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,12,S
V2_state,La(III),1,C
V2_state,Ce(III),1,S
V2_state,Pr(III),1,S
V2_state,Nd(III),1,S
V2_state,Sm(III),1,C
V2_state,Eu(III),1,C
V2_state,Gd(III),1,S
V2_state,Tb(III),1,S
V2_state,Dy(III),1,C
V2_state,Ho(III),1,S
V2_state,Er(III),1,C
V2_state,Tm(III),1,C
V2_state,Yb(III),1,C
V2_state,Lu(III),1,S
V2_state,Th(IV),1,S
V2_state,U(VI),1,S
V2_state,Np(IV),1,S
V2_state,Np(V),1,C
V2_state,Pu(III),1,C
V2_state,Pu(IV),1,S
V2_state,Pu(VI),1,C
V2_state,Am(III),1,C
V2_state,Cm(III),1,S
