column,source,schema_section,schema_role,schema_role_basis,in_PROVENANCE_COLUMNS,dtype,list_valued,non_null,non_empty_lists,n_empty_string,n_filled_all,n_filled_model,fill_fraction_all,fill_fraction_model,n_unique,schema_md_dtype,schema_md_nonnull,nonnull_matches_schema_md
extractant_primary_concentration_M,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,float64,False,16536,,0,16536,12411,0.986047,1,1673,float64,16536,True
modifier_name,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,str,False,797,,0,797,616,0.0475253,0.0496334,11,str,797,True
modifier_concentration_M,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,float64,False,792,,0,792,611,0.0472272,0.0492305,49,float64,792,True
complexant_name,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,str,False,991,,0,991,807,0.0590936,0.065023,14,str,991,True
complexant_smiles_canonical,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,str,False,991,,0,991,807,0.0590936,0.065023,16,str,991,True
complexant_concentration_M,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,float64,False,991,,0,991,807,0.0590936,0.065023,80,float64,991,True
holdback_name,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,object,False,0,,0,0,0,0,0,0,object,0,True
holdback_smiles_canonical,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,str,False,327,,0,327,322,0.0194991,0.0259447,17,str,327,True
holdback_concentration_M,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,float64,False,1072,,0,1072,1065,0.0639237,0.085811,12,float64,1072,True
metal_symbol,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,str,False,14852,,0,14852,12411,0.885629,1,40,str,14852,True
metal_species_form,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,str,False,16,,0,16,16,0.000954085,0.00128918,1,str,16,True
metal_oxidation_state,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,float64,False,13484,,0,13484,11049,0.804055,0.890259,6,float64,13484,True
metal_oxidation_state_source,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,str,False,13484,,0,13484,11049,0.804055,0.890259,2,str,13484,True
metal_category,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,str,False,14852,,0,14852,12411,0.885629,1,6,str,14852,True
is_lanthanide,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,object,False,14852,,0,14852,12411,0.885629,1,2,object,14852,True
acid_names,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,object,True,16770,16769,0,16769,12411,0.99994,1,9,object,16770,True
acid_primary,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,str,False,16769,,0,16769,12411,0.99994,1,8,str,16769,True
acid_signature,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,str,False,16770,,1,16769,12411,0.99994,1,9,str,16770,True
acid_anion,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,str,False,16769,,0,16769,12411,0.99994,1,9,str,16769,True
acid_concentration_M,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,float64,False,16592,,0,16592,12411,0.989386,1,3186,float64,16592,True
acid_concentration_organic_M,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,float64,False,1962,,0,1962,76,0.116995,0.0061236,1547,float64,1962,True
nitrate_concentration_M,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,float64,False,1104,,0,1104,1096,0.0658318,0.0883088,119,float64,1104,True
solvent_components,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,object,True,16770,16770,0,16770,12411,1,1,59,object,16770,True
solvent_fractions,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,object,True,16770,16770,0,16770,12411,1,1,14,object,16770,True
solvent_key,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,str,False,16770,,0,16770,12411,1,1,83,str,16770,True
solvent_primary,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,str,False,16770,,0,16770,12411,1,1,49,str,16770,True
solvent_n_components,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,int64,False,16770,,0,16770,12411,1,1,2,int64,16770,True
solvent_pattern,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,str,False,16770,,0,16770,12411,1,1,3,str,16770,True
metal_concentration_M,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,float64,False,7412,,0,7412,6913,0.44198,0.557006,353,float64,7412,True
temperature_C,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,float64,False,15641,,0,15641,11663,0.932677,0.939731,28,float64,15641,True
contact_time_min,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,float64,False,9488,,0,9488,8446,0.565772,0.680525,98,float64,9488,True
shaking_time_min,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,float64,False,2883,,0,2883,2264,0.171914,0.182419,14,float64,2883,True
phase_ratio_org_aq,archive,Primary experimental information (model inputs),primary_experimental,schema.md section: Primary experimental information (model inputs),False,float64,False,8153,,0,8153,7303,0.486166,0.58843,4,float64,8153,True
log_D,archive,Target,target,schema.md section: Target,False,float64,False,14622,,0,14622,12411,0.871914,1,9914,float64,14622,True
D_value,archive,Target,target,schema.md section: Target,False,float64,False,14622,,0,14622,12411,0.871914,1,9915,float64,14622,True
atomic_number,archive,Derived reference values (reproducible lookups),derived_reference,schema.md section: Derived reference values (reproducible lookups),False,float64,False,14852,,0,14852,12411,0.885629,1,40,float64,14852,True
lanthanide_index,archive,Derived reference values (reproducible lookups),derived_reference,schema.md section: Derived reference values (reproducible lookups),False,float64,False,8053,,0,8053,6495,0.480203,0.523326,15,float64,8053,True
ionic_radius_cn8_A,archive,Derived reference values (reproducible lookups),derived_reference,schema.md section: Derived reference values (reproducible lookups),False,float64,False,12664,,0,12664,10317,0.755158,0.831279,32,float64,12664,True
ionic_radius_status,archive,Derived reference values (reproducible lookups),derived_reference,schema.md section: Derived reference values (reproducible lookups),False,str,False,16770,,0,16770,12411,1,1,4,str,16770,True
metal_oxidation_state_plausible,archive,Derived reference values (reproducible lookups),derived_reference,schema.md section: Derived reference values (reproducible lookups),False,object,False,13484,,0,13484,11049,0.804055,0.890259,2,object,13484,True
series_id,archive,Series / curve structure,series,schema.md section: Series / curve structure,True,str,False,16770,,0,16770,12411,1,1,583,str,16770,True
model_readiness,archive,Quality tiers,quality,schema.md section: Quality tiers,False,str,False,16770,,0,16770,12411,1,1,4,str,16770,True
is_model_ready,archive,Quality tiers,quality,schema.md section: Quality tiers,False,bool,False,16770,,0,16770,12411,1,1,2,bool,16770,True
has_target,archive,Quality tiers,quality,schema.md section: Quality tiers,False,bool,False,16770,,0,16770,12411,1,1,2,bool,16770,True
structures_resolved,archive,Quality tiers,quality,schema.md section: Quality tiers,False,bool,False,16770,,0,16770,12411,1,1,2,bool,16770,True
in_value_conflict,archive,Quality tiers,quality,schema.md section: Quality tiers,True,bool,False,16770,,0,16770,12411,1,1,2,bool,16770,True
review_priority,archive,Quality tiers,quality,schema.md section: Quality tiers,False,object,False,0,,0,0,0,0,0,0,object,0,True
n_complexants,archive,NOT_IN_SCHEMA_MD,primary_experimental,INFERRED: count of aqueous_complexant components,False,int64,False,16770,,0,16770,12411,1,1,3,,,
complexant_names,archive,NOT_IN_SCHEMA_MD,primary_experimental,INFERRED: list form of complexant_name,False,object,True,16770,991,0,991,807,0.0590936,0.065023,15,,,
complexant_smiles_all,archive,NOT_IN_SCHEMA_MD,primary_experimental,INFERRED: list form of complexant_smiles_canonical,False,object,True,16770,991,0,991,807,0.0590936,0.065023,16,,,
complexant_concentrations_M,archive,NOT_IN_SCHEMA_MD,primary_experimental,INFERRED: list form of complexant_concentration_M,False,object,True,16770,991,0,991,807,0.0590936,0.065023,89,,,
complexant_signature,archive,NOT_IN_SCHEMA_MD,primary_experimental,INFERRED: name@concentration join of the complexants,False,str,False,991,,0,991,807,0.0590936,0.065023,109,,,
conflicting_component_names,archive,NOT_IN_SCHEMA_MD,quality,INFERRED: names that disagree for one structure/component,False,object,True,16770,243,0,243,208,0.0144902,0.0167593,26,,,
conflicting_component_detail,archive,NOT_IN_SCHEMA_MD,quality,INFERRED: detail of conflicting_component_names,False,object,True,16770,243,0,243,208,0.0144902,0.0167593,39,,,
has_suspect_flag,archive,NOT_IN_SCHEMA_MD,quality,INFERRED: boolean summary of the flags column,False,bool,False,16770,,0,16770,12411,1,1,2,,,
g19_publication_id,g19_derived (gen19ct.data.load),g19_derived,provenance,gen19ct.data.load derived column,True,str,False,16770,,0,16770,12411,1,1,169,,,
g19_publication_status,g19_derived (gen19ct.data.load),g19_derived,provenance,gen19ct.data.load derived column,True,str,False,16770,,0,16770,12411,1,1,3,,,
g19_publication_refs,g19_derived (gen19ct.data.load),g19_derived,provenance,gen19ct.data.load derived column,True,str,False,16770,,0,16770,12411,1,1,169,,,
g19_study_id,g19_derived (gen19ct.data.load),g19_derived,provenance,gen19ct.data.load derived column,True,str,False,16770,,0,16770,12411,1,1,263,,,
g19_metal,g19_derived (gen19ct.data.load),g19_derived,g19_derived,gen19ct.data.load derived column,False,str,False,14852,,0,14852,12411,0.885629,1,40,,,
g19_ox,g19_derived (gen19ct.data.load),g19_derived,g19_derived,gen19ct.data.load derived column,False,float64,False,13484,,0,13484,11049,0.804055,0.890259,6,,,
g19_metal_state,g19_derived (gen19ct.data.load),g19_derived,g19_derived,gen19ct.data.load derived column,False,str,False,13484,,0,13484,11049,0.804055,0.890259,43,,,
g19_tier,g19_derived (gen19ct.data.load),g19_derived,g19_derived,gen19ct.data.load derived column,False,str,False,16770,,0,16770,12411,1,1,3,,,
g19_bundle_exp_id,g19_derived (gen19ct.data.load),g19_derived,provenance,gen19ct.data.load derived column,True,Int64,False,16770,,0,16770,12411,1,1,16770,,,
