extractant_system_key,system_label,system_family,mechanism,brief_expert,n_organic_extractants,n_model_rows,n_model_rows_known_state,n_metal_states,n_metal_states_ge5_rows,n_elements_any_state,n_ln_iii_states,n_actinide_rows,n_lanthanide_rows,n_publications,n_publication_groups_primary_source_doi,n_acids,acids,measured_in_one_publication_only,metal_states,has_name_structure_conflict,n_model_rows_acidic_coextractant_modifier,n_rows_other_systems_sharing_a_component,n_rows_other_systems_sharing_a_parent_structure,v3_eligible__rows20_states3_members1,v3_eligible__rows20_states3_members2,v3_eligible__rows20_states3_members3,v3_eligible__rows20_states5_members1,v3_eligible__rows20_states5_members2,v3_eligible__rows20_states5_members3,v3_eligible__rows50_states3_members1,v3_eligible__rows50_states3_members2,v3_eligible__rows50_states3_members3,v3_eligible__rows50_states5_members1,v3_eligible__rows50_states5_members2,v3_eligible__rows50_states5_members3,v3_eligible__rows100_states3_members1,v3_eligible__rows100_states3_members2,v3_eligible__rows100_states3_members3,v3_eligible__rows100_states5_members1,v3_eligible__rows100_states5_members2,v3_eligible__rows100_states5_members3,n_rows_known_state,n_condition_keys,n_condition_keys_with_ge2_metal_states,fraction_rows_in_shared_condition_groups,n_state_condition_keys_with_ge2_publications,n_condition_keys_nm,n_condition_keys_with_ge2_metal_states_nm,fraction_rows_in_shared_condition_groups_nm,n_state_condition_keys_with_ge2_publications_nm
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,DOODA (C12),podand_ether,NEUTRAL_SOLVATING,E2_neutral_solvating,1,208,208,16,14,16,14,6,202,1,1,1,HNO3,True,La(III)|Ce(III)|Pr(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Tb(III)|Dy(III)|Ho(III)|Er(III)|Tm(III)|Yb(III)|Lu(III)|Am(III)|Cm(III),False,0,0,0,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,208,35,29,0.971154,0,16,16,1,0
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,TDDGA,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,184,118,6,5,13,1,110,59,6,6,1,HNO3,False,Sr(II)|Eu(III)|Th(IV)|U(VI)|Np(V)|Am(III),False,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,118,116,1,0.0169492,0,112,5,0.0847458,0
CCCCCCN(CCCCCC)C(=O)CCCCC,DHHA,monoamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,143,143,9,9,5,0,143,0,4,4,1,HNO3,False,Th(IV)|U(VI)|Np(IV)|Np(V)|Np(VI)|Pu(III)|Pu(IV)|Pu(VI)|Am(III),False,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,143,135,8,0.111888,0,111,14,0.321678,0
CCCCCN(CCCCC)C(=O)COCC(=O)N(CCCCC)CCCCC,TPDGA,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,142,142,7,6,6,1,139,3,4,4,1,HNO3,False,Eu(III)|Th(IV)|U(VI)|Np(IV)|Np(V)|Pu(IV)|Am(III),False,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,142,114,22,0.352113,0,105,24,0.429577,0
CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,2-N-6-N-dimethyl-2-N-6-N-diphenylpyridine-2-6-dicarboxamide,pyridine_carboxamide,SOFT_N_DONOR,E2_neutral_solvating,1,140,140,14,14,14,14,0,140,1,1,1,HNO3,True,La(III)|Ce(III)|Pr(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Tb(III)|Dy(III)|Ho(III)|Er(III)|Tm(III)|Yb(III)|Lu(III),False,0,0,0,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,140,10,10,1,0,10,10,1,0
CCCCCCCCN(C)C(=O)C(CCCCCC)(OCC)C(=O)N(C)CCCCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,DMDOHEMA|TODGA,diglycolamide+malonamide,MIXED_NEUTRAL,E2_neutral_solvating,2,137,137,11,11,11,9,34,103,3,3,1,HNO3,False,La(III)|Ce(III)|Pr(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Tb(III)|Dy(III)|Pu(IV)|Am(III),False,0,3311,3311,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,137,38,29,0.934307,0,38,29,0.934307,0
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,DBD1MHDGA,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,134,134,6,6,6,6,0,134,1,1,1,HCl,True,Nd(III)|Sm(III)|Gd(III)|Dy(III)|Er(III)|Yb(III),False,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,134,51,17,0.731343,0,51,17,0.731343,0
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,THDGA,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,134,96,15,5,15,8,89,43,6,6,1,HNO3,False,Sr(II)|Ba(II)|La(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Dy(III)|Er(III)|Lu(III)|Th(IV)|U(VI)|Np(V)|Pu(IV)|Am(III),False,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,96,78,4,0.229167,0,76,6,0.270833,0
CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,DMDPDGA,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,127,127,18,18,18,14,49,78,3,3,1,HNO3,False,La(III)|Ce(III)|Pr(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Tb(III)|Dy(III)|Ho(III)|Er(III)|Tm(III)|Yb(III)|Lu(III)|Th(IV)|U(VI)|Np(V)|Am(III),False,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,127,56,12,0.645669,0,49,6,0.653543,0
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,DMDO-HPyranDGA,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,105,105,8,8,8,7,33,72,1,1,1,HNO3,True,La(III)|Ce(III)|Pr(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Am(III),False,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,105,47,9,0.638095,0,47,9,0.638095,0
CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,2-(2-hexoxyethyl)-N-N-dimethyl-N-N-dioctylpropanediamide,malonamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,96,14,14,0,16,14,44,52,2,2,1,HNO3,False,La(III)|Ce(III)|Pr(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Tb(III)|Dy(III)|Ho(III)|Er(III)|Tm(III)|Yb(III)|Lu(III),False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14,1,1,1,0,1,1,1,0
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|CCCCOP(=O)(OCCCC)OCCCC,TODGA|TBP,diglycolamide+neutral_organophosphate,MIXED_NEUTRAL,E2_neutral_solvating,2,94,94,7,6,7,2,57,37,2,2,1,HNO3,False,Sm(III)|Eu(III)|Th(IV)|U(VI)|Am(III)|Cm(III)|Cf(III),False,0,3354,3354,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,94,52,24,0.702128,0,52,24,0.702128,0
CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)(C)C,DEHPVA,monoamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,90,90,6,5,3,0,90,0,4,4,1,HNO3,False,U(VI)|Np(IV)|Np(V)|Np(VI)|Pu(III)|Pu(IV),False,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,90,54,12,0.455556,0,34,11,0.733333,0
CCN(CC)C(=O)COCC(=O)N(CC)CC,TEDGA,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,84,84,14,14,14,14,0,84,1,1,1,HNO3,True,La(III)|Ce(III)|Pr(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Tb(III)|Dy(III)|Ho(III)|Er(III)|Tm(III)|Yb(III)|Lu(III),False,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,84,12,12,1,0,6,6,1,0
CCCCN(CCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCC)CCCC,TBEE-BisDGA,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,83,83,3,3,3,1,77,6,1,1,1,HNO3,True,Eu(III)|Th(IV)|U(VI),False,0,0,0,True,True,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,83,77,5,0.13253,0,77,5,0.13253,0
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,mTDDGA,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,82,82,12,12,12,9,37,45,1,1,1,HNO3,True,La(III)|Ce(III)|Pr(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Tb(III)|Dy(III)|Pu(IV)|Am(III)|Cm(III),False,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,82,28,13,0.817073,0,11,11,1,0
CCN(CC)C(=O)c1ccc2ccc3cccnc3c2n1,C2-PTA,pyridine_carboxamide,SOFT_N_DONOR,E2_neutral_solvating,1,78,78,1,1,1,1,0,78,1,1,1,HNO3,True,Eu(III),False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,
CCCCCCCC(=O)N(CCCCCC)CCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,DHOA|TODGA,diglycolamide+monoamide,MIXED_NEUTRAL,E2_neutral_solvating,2,77,77,5,4,5,2,59,18,2,2,1,HNO3,False,Nd(III)|Eu(III)|U(VI)|Pu(IV)|Am(III),False,0,3793,3793,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,77,41,17,0.688312,0,37,18,0.753247,0
CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,TPrDGA,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,77,77,16,7,16,14,16,61,2,2,1,HNO3,False,La(III)|Ce(III)|Pr(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Tb(III)|Dy(III)|Ho(III)|Er(III)|Tm(III)|Yb(III)|Lu(III)|Th(IV)|Am(III),False,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,77,25,9,0.779221,0,20,6,0.805195,0
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,L1e,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,75,75,2,2,2,1,38,37,1,1,1,HNO3,True,Eu(III)|Am(III),False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,75,51,24,0.64,0,51,24,0.64,0
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOc1cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,HOOxyBenDGA,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,71,71,5,2,4,1,55,16,2,2,1,HNO3,False,Eu(III)|U(VI)|Pu(IV)|Pu(VI)|Am(III),False,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,71,57,10,0.323944,0,50,14,0.492958,0
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCc1c(CC)c(CCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c(CC)c(CCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1CC,HOEtBenDGA,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,71,71,5,2,4,1,55,16,2,2,1,HNO3,False,Eu(III)|U(VI)|Pu(IV)|Pu(VI)|Am(III),False,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,71,57,10,0.323944,0,50,14,0.492958,0
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,HOAmBenDGA,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,70,70,5,2,4,1,55,15,2,2,1,HNO3,False,Eu(III)|U(VI)|Pu(IV)|Pu(VI)|Am(III),False,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,70,57,9,0.3,0,50,13,0.471429,0
CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,DOODA (C8),podand_ether,NEUTRAL_SOLVATING,E2_neutral_solvating,1,70,70,14,8,14,14,0,70,1,1,1,HNO3,True,La(III)|Ce(III)|Pr(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Tb(III)|Dy(III)|Ho(III)|Er(III)|Tm(III)|Yb(III)|Lu(III),False,0,0,0,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,70,9,9,1,0,5,5,1,0
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,2-[1-(dioctylamino)-1-oxopropan-2-yl]oxy-N-N-dioctylpropanamide,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,64,64,15,2,15,14,18,46,5,5,1,HNO3,False,La(III)|Ce(III)|Pr(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Tb(III)|Dy(III)|Ho(III)|Er(III)|Tm(III)|Yb(III)|Lu(III)|Am(III),False,0,0,32,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,64,24,15,0.859375,1,24,15,0.859375,1
CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,ADAAM(EH),amino_polyamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,63,63,2,2,2,2,0,63,1,1,1,HNO3,True,Nd(III)|Eu(III),False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,63,16,1,0.587302,0,16,1,0.587302,0
CCCCCCCCCC(=O)N(CCCCCC)CCCCCC,DHDA,monoamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,63,63,4,3,3,0,63,0,2,2,1,HNO3,False,U(VI)|Np(IV)|Pu(III)|Pu(IV),False,0,0,0,True,True,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,63,32,13,0.666667,0,23,13,0.84127,0
CCCCC(CC)C(=O)N(CCCC)CCCC,DBEHA,monoamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,61,61,8,8,5,0,61,0,3,3,1,HNO3,False,Th(IV)|U(VI)|Np(IV)|Np(VI)|Pu(III)|Pu(IV)|Pu(VI)|Am(III),False,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,61,50,9,0.327869,0,48,9,0.327869,0
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,TIBDGA,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,60,60,11,3,11,8,52,8,2,2,1,HNO3,False,La(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Dy(III)|Er(III)|Lu(III)|Th(IV)|Np(IV)|Pu(IV),False,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,60,31,19,0.8,0,24,19,0.916667,0
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,NTAamide(C8),amino_polyamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,58,58,16,3,16,14,32,26,3,3,1,HNO3,False,La(III)|Ce(III)|Pr(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Tb(III)|Dy(III)|Ho(III)|Er(III)|Tm(III)|Yb(III)|Lu(III)|Am(III)|Cm(III),False,0,0,0,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,58,30,26,0.931034,0,24,22,0.965517,0
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)N(CCC(C)C)CCC(C)C,TiADGA,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,52,52,3,3,3,0,52,0,1,1,1,HNO3,True,Th(IV)|Np(IV)|Pu(IV),False,0,0,0,True,True,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,52,30,18,0.769231,0,23,18,0.903846,0
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,p-TODGA-Syn,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,52,52,18,4,17,14,38,14,1,1,1,HNO3,True,La(III)|Ce(III)|Pr(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Tb(III)|Dy(III)|Ho(III)|Er(III)|Tm(III)|Yb(III)|Lu(III)|Pu(III)|Pu(IV)|Am(III)|Cm(III),False,0,0,11,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,52,31,6,0.519231,0,31,6,0.519231,0
CCCCCCN(CCCCCC)C(=O)C(CC)CCCC,DHEHA,monoamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,48,48,5,4,5,0,48,0,2,2,1,HNO3,False,Th(IV)|U(VI)|Np(VI)|Pu(IV)|Am(III),False,0,0,0,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,48,33,8,0.479167,0,25,14,0.770833,0
CCCCCCCCCCCC(=O)N(CC)CC,DEDoDA,monoamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,47,47,3,3,3,0,47,0,1,1,1,HNO3,True,Th(IV)|U(VI)|Pu(IV),False,0,0,0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,47,22,7,0.680851,0,22,7,0.680851,0
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,LL9,diglycolamide,NEUTRAL_SOLVATING,E2_neutral_solvating,1,47,47,2,2,2,1,24,23,1,1,1,HNO3,True,Eu(III)|Am(III),False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,47,32,15,0.638298,0,32,15,0.638298,0
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,T8-PHEN-CAM,pyridine_carboxamide,SOFT_N_DONOR,E2_neutral_solvating,1,47,47,15,2,15,14,12,35,2,2,2,HCl|HNO3,False,La(III)|Ce(III)|Pr(III)|Nd(III)|Sm(III)|Eu(III)|Gd(III)|Tb(III)|Dy(III)|Ho(III)|Er(III)|Tm(III)|Yb(III)|Lu(III)|Am(III),False,0,14,14,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,47,14,14,1,0,14,14,1,0
