extractant_system_key,system_id,system_label,pr_rows,pr_iii_rows,pr_unknown_ox_rows,nd_rows,nd_iii_rows,nd_unknown_ox_rows,publications_with_pr,publications_with_nd,publications_with_both,shared_condition_keys_same_publication,pr_rows_in_shared_keys,nd_rows_in_shared_keys,shared_condition_keys_same_publication_excl_metal_conc,n_other_ln,other_ln_present
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,sys_d503e34a31,mTDDGA,5,5,0,5,5,0,1,1,1,5,5,5,5,7,La|Ce|Sm|Eu|Gd|Tb|Dy
CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,sys_8ba66f2acf,TPrDGA,5,5,0,5,5,0,1,1,1,5,5,5,5,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,sys_f6fc88d7f7,DMDO-HPyranDGA,6,6,0,6,6,0,1,1,1,3,6,6,3,5,La|Ce|Sm|Eu|Gd
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,sys_1bf1228273,TEHDGA,2,2,0,48,12,36,2,10,2,2,2,2,2,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,sys_5f927ac05d,N-N-bis(2-methylpropyl)-2-[octyl(phenyl)phosphoryl]acetamide,2,2,0,2,2,0,2,2,2,2,2,2,2,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],sys_8281c401ca,2-6-bis(dioctylphosphorylmethyl)-1-oxidopyridin-1-ium,2,2,0,2,2,0,1,1,1,2,2,2,2,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,sys_e2104be803,6-19-dihexyl-7-8-17-18-tetraphenyl-3-6-19-22-tetrazapentacyclo[12.8.0.02-11.04-9.016-21]docosa-1(22)-2-4(9)-7-10-12-14-16(21)-17-nonaene-5-20-dione,2,2,0,2,2,0,1,1,1,2,2,2,2,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1,sys_61f4515ff4,[4-7-dichloro-9-(pyrrolidine-1-carbonyl)-1-10-phenanthrolin-2-yl]-pyrrolidin-1-ylmethanone,2,2,0,2,2,0,1,1,1,2,2,2,2,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,sys_fab2c8c09b,2-[1-(dioctylamino)-1-oxopropan-2-yl]oxy-N-N-dioctylpropanamide,2,2,0,2,2,0,1,1,1,1,2,2,1,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,sys_8994d875ff,T8-PHEN-CAM,2,2,0,1,1,0,1,1,1,1,1,1,1,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,sys_ac54455ea4,DHD2DGA,1,1,0,34,34,0,1,1,1,1,1,2,1,13,La|Ce|Pm|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,sys_60d114cb68,DMDOHEMA,1,1,0,3,1,2,1,2,1,1,1,1,1,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,sys_3df48e3fe7,DMDdecdDGA,1,1,0,1,1,0,1,1,1,1,1,1,1,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,sys_1b07e42ea9,6-MH-C9-B8D(iB)CMPO,1,1,0,1,1,0,1,1,1,1,1,1,1,4,La|Ce|Sm|Eu
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,sys_0d0c332c8f,5-5-8-8-tetramethyl-3-[6-[6-(5-5-8-8-tetramethyl-6-7-dihydro-1-2-4-benzotriazin-3-yl)-2-pyridinyl]-2-pyridinyl]-6-7-dihydro-1-2-4-benzotriazine,1,1,0,1,1,0,1,1,1,1,1,1,1,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,sys_7410a86285,CA-BTP,1,1,0,1,1,0,1,1,1,1,1,1,1,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,sys_b49b4d8606,DMDetHDGA,1,1,0,1,1,0,1,1,1,1,1,1,1,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,sys_343c594640,2-EH-C9-B8D(iB)CMPO,1,1,0,1,1,0,1,1,1,1,1,1,1,4,La|Ce|Sm|Eu
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,sys_170ff0adc2,DMDdecHDGA,1,1,0,1,1,0,1,1,1,1,1,1,1,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,sys_af358356f8,cPSNDGA,1,1,0,1,1,0,1,1,1,1,1,1,1,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,sys_a240223867,DODDdDGA,1,1,0,1,1,0,1,1,1,1,1,1,1,11,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Yb|Lu
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,sys_e17974dcf7,N-N-didodecyl-2-(1-hexyl-2-oxopiperidin-3-yl)oxyacetamide,1,1,0,1,1,0,1,1,1,1,1,1,1,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,sys_4997041b38,Et-Me-TDDGA-Syn,1,1,0,1,1,0,1,1,1,1,1,1,1,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,sys_969210e30e,p-TDDGA-Syn,1,1,0,1,1,0,1,1,1,1,1,1,1,11,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb
CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,sys_510433ac14,N-(4-methylphenyl)-N-octyl-1-10-phenanthroline-2-carboxamide,1,1,0,1,1,0,1,1,1,1,1,1,1,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,sys_fc4e7546e8,2-hexyl-N-N-dimethyl-N-N-dioctylpropanediamide,1,1,0,1,1,0,1,1,1,1,1,1,1,7,La|Sm|Eu|Gd|Tb|Dy|Er
CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,sys_49d02a2ef7,N-N-dimethyl-N-N-dioctylpropanediamide,1,1,0,1,1,0,1,1,1,1,1,1,1,7,La|Sm|Eu|Gd|Tb|Dy|Er
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,sys_fff3c88be2,MMTODGA,1,1,0,1,1,0,1,1,1,1,1,1,1,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,sys_d543322e12,DEDODGA,1,1,0,1,1,0,1,1,1,1,1,1,1,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,sys_f55e882c19,DODHtDGA,1,1,0,1,1,0,1,1,1,1,1,1,1,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,sys_3ad9b85960,DPDODGA,1,1,0,1,1,0,1,1,1,1,1,1,1,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,sys_9f551f54bd,DODDbDGA,1,1,0,1,1,0,1,1,1,1,1,1,1,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,sys_4f20d1df46,DODDmDGA,1,1,0,1,1,0,1,1,1,1,1,1,1,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,sys_b0a7d78e9c,N-N-N-N-tetraoctylpropanediamide,1,1,0,1,1,0,1,1,1,1,1,1,1,7,La|Sm|Eu|Gd|Tb|Dy|Er
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,sys_8e1bd18b78,NTAamide(C8),1,1,0,1,1,0,1,1,1,1,1,1,1,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,sys_6cd2b46ee7,DMDOaDGA,1,1,0,1,1,0,1,1,1,1,1,1,1,5,La|Ce|Sm|Eu|Ho
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,sys_0a120b844f,cMe2-TODGA,1,1,0,1,1,0,1,1,1,1,1,1,1,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC,sys_cabc3982c3,Et-Me-TODGA-Anti,1,1,0,1,1,0,1,1,1,1,1,1,1,11,La|Ce|Sm|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,sys_a6628af7b0,tMe2-TODGA,1,1,0,1,1,0,1,1,1,1,1,1,1,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,sys_e2e1d49929,p-TODGA-Syn,1,1,0,1,1,0,1,1,1,1,1,1,1,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCCCCCN(C)C(=O)CC(=O)N(C)CCCCCC,sys_cf74c2b57a,N-N-dihexyl-N-N-dimethylpropanediamide,1,1,0,1,1,0,1,1,1,1,1,1,1,7,La|Sm|Eu|Gd|Tb|Dy|Er
CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C,sys_ac47e7bbe4,N-(3-7-dimethyloct-6-enyl)-2-[2-[3-7-dimethyloct-6-enyl(hexyl)amino]-2-oxoethoxy]-N-hexylacetamide,1,1,0,1,1,0,1,1,1,1,1,1,1,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCCCCCN(CCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCCC(C)C,sys_d1fe077e5a,N-(3-7-dimethyloctyl)-2-[2-[3-7-dimethyloctyl(hexyl)amino]-2-oxoethoxy]-N-hexylacetamide,1,1,0,1,1,0,1,1,1,1,1,1,1,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,sys_a6bd37a20a,N-N-N-N-tetrahexylpropanediamide,1,1,0,1,1,0,1,1,1,1,1,1,1,7,La|Sm|Eu|Gd|Tb|Dy|Er
CCCCCCOP(=O)(O)OCCCCCC,sys_300238800d,dihexyl hydrogen phosphate,1,1,0,1,1,0,1,1,1,1,1,1,1,8,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho
CCCCCCc1ccc(N(CC)C(=O)c2cccc(-c3cccc(C(=O)N(CC)c4ccc(CCCCCC)cc4)n3)n2)cc1,sys_c2e27e5e07,N-ethyl-6-[6-[ethyl-(4-hexylphenyl)carbamoyl]-2-pyridinyl]-N-(4-hexylphenyl)pyridine-2-carboxamide,1,1,0,1,1,0,1,1,1,1,1,1,1,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCCCN(CCCC)C(=O)CC(=O)N(CCCC)CCCC,sys_545fc30382,N-N-N-N-tetrabutylpropanediamide,1,1,0,1,1,0,1,1,1,1,1,1,1,7,La|Sm|Eu|Gd|Tb|Dy|Er
CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,sys_362090ae44,2-N-2-N-9-N-9-N-tetrabutyl-1-10-phenanthroline-2-9-dicarboxamide,1,1,0,1,1,0,1,1,1,1,1,1,1,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,sys_ecdae68a4e,3-[6-(5-6-dipropyl-1-2-4-triazin-3-yl)-2-pyridinyl]-5-6-dipropyl-1-2-4-triazine,1,1,0,1,1,0,1,1,1,1,1,1,1,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,sys_dccd881431,N-(3-5-dimethylphenyl)-6-[6-[(3-5-dimethylphenyl)-ethylcarbamoyl]-2-pyridinyl]-N-ethylpyridine-2-carboxamide,1,1,0,1,1,0,1,1,1,1,1,1,1,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,sys_5aaf02dc53,N-(2-5-dimethylphenyl)-6-[6-[(2-5-dimethylphenyl)-ethylcarbamoyl]-2-pyridinyl]-N-ethylpyridine-2-carboxamide,1,1,0,1,1,0,1,1,1,1,1,1,1,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,sys_0eae1770cb,N-(2-4-dimethylphenyl)-6-[6-[(2-4-dimethylphenyl)-ethylcarbamoyl]-2-pyridinyl]-N-ethylpyridine-2-carboxamide,1,1,0,1,1,0,1,1,1,1,1,1,1,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1,sys_76912d020e,N-ethyl-6-[6-[ethyl(phenyl)carbamoyl]-2-pyridinyl]-N-phenylpyridine-2-carboxamide,1,1,0,1,1,0,1,1,1,1,1,1,1,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccc(C)cc2)n1)c1ccc(C)cc1,sys_c5e353e31b,2-N-6-N-diethyl-2-N-6-N-bis(4-methylphenyl)pyridine-2-6-dicarboxamide,1,1,0,1,1,0,1,1,1,1,1,1,1,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCN(C(=O)c1cccc(C(=O)N(CC)c2cccc(C)c2)n1)c1cccc(C)c1,sys_952442d821,2-N-6-N-diethyl-2-N-6-N-bis(3-methylphenyl)pyridine-2-6-dicarboxamide,1,1,0,1,1,0,1,1,1,1,1,1,1,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccccc2C)n1)c1ccccc1C,sys_6a5854313c,2-N-6-N-diethyl-2-N-6-N-bis(2-methylphenyl)pyridine-2-6-dicarboxamide,1,1,0,1,1,0,1,1,1,1,1,1,1,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CCc1ccc(N(CC)C(=O)c2ccc3ccc4ccc(C(=O)N(CC)c5ccc(CC)cc5)nc4c3n2)cc1,sys_a141c2219c,2-N-9-N-diethyl-2-N-9-N-bis(4-ethylphenyl)-1-10-phenanthroline-2-9-dicarboxamide,1,1,0,1,1,0,1,1,1,1,1,1,1,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1,sys_95925b2935,N-N-dimethyl-N-N-diphenylpropanediamide,1,1,0,1,1,0,1,1,1,1,1,1,1,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,sys_a1557e4cad,TEtOMeDGA,1,1,0,1,1,0,1,1,1,1,1,1,1,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
O=C(COCC(=O)N1CCCCC1)N1CCCCC1,sys_a02d43d5c0,DPiperidineDGA,1,1,0,1,1,0,1,1,1,1,1,1,1,12,La|Ce|Sm|Eu|Gd|Tb|Dy|Ho|Er|Tm|Yb|Lu
O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,sys_d058969ef3,2-[[2-[bis(carboxymethyl)amino]cyclohexyl]-(carboxymethyl)amino]acetic acid,1,1,0,1,1,0,1,1,1,1,1,1,1,6,La|Ce|Sm|Eu|Gd|Dy
O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,sys_03ceaf035a,2-[2-[bis(carboxymethyl)amino]ethyl-(2-hydroxyethyl)amino]acetic acid,1,1,0,1,1,0,1,1,1,1,1,1,1,6,La|Ce|Sm|Eu|Gd|Dy
CCCCCCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCCCCCC,sys_677112ccc5,DEDDdDGA,26,26,0,0,0,0,1,0,0,0,0,0,0,0,
CCCCCCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCCCCCC,sys_1e3b01c5c7,DPDDdDGA,26,26,0,0,0,0,1,0,0,0,0,0,0,0,
CCCCCCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCCCCCC,sys_2e60850c0a,DMDDdDGA,22,22,0,0,0,0,1,0,0,0,0,0,0,0,
CCCCCCCCCCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCCCCCCCCCC,sys_3e62907ea5,DBDDdDGA,22,22,0,0,0,0,1,0,0,0,0,0,0,0,
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,sys_70596cf853,2-5-8-15-18-21-hexaoxatricyclo[20.4.0.09-14]hexacosane,1,1,0,0,0,0,1,0,0,0,0,0,0,4,La|Ce|Eu|Er
C1COCCOCCOCCOCCOCCO1,sys_ebda22dffb,1-4-7-10-13-16-hexaoxacyclooctadecane,1,1,0,0,0,0,1,0,0,0,0,0,0,4,La|Ce|Eu|Er
c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2,sys_c2c22ff4cd,3-10-13-16-23-pentaoxa-29-azatetracyclo[23.3.1.04-9.017-22]nonacosa-1(29)-4-6-8-17-19-21-25-27-nonaene,1,1,0,0,0,0,1,0,0,0,0,0,0,4,La|Ce|Eu|Er
c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,sys_bf89b08c21,2-5-8-15-18-21-hexaoxatricyclo[20.4.0.09-14]hexacosa-1(26)-9-11-13-22-24-hexaene,1,1,0,0,0,0,1,0,0,0,0,0,0,4,La|Ce|Eu|Er
CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,sys_1e2196cbb0,ADAAM(EH),0,0,0,36,36,0,0,1,0,0,0,0,0,1,Eu
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,sys_5d20784f65,D3DODGA,0,0,0,35,0,35,0,3,0,0,0,0,0,0,
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,sys_b9bfc6f023,TBDGA,0,0,0,31,19,12,0,3,0,0,0,0,0,10,La|Ce|Sm|Eu|Gd|Tb|Dy|Er|Yb|Lu
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,sys_d1bb6c7ee1,TDDGA,0,0,0,26,0,26,0,2,0,0,0,0,0,7,La|Sm|Eu|Gd|Dy|Er|Lu
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,sys_d39b6adb9f,DBD1MHDGA,0,0,0,14,14,0,0,1,0,0,0,0,0,5,Sm|Gd|Dy|Er|Yb
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,sys_2a09cfc82c,THDGA,0,0,0,10,2,8,0,3,0,0,0,0,0,7,La|Sm|Eu|Gd|Dy|Er|Lu
CCCCC(CC)CN(CC(CC)CCCC)C(C)=O|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,sys_39e7d4df02,D2EHAA + TODGA,0,0,0,4,4,0,0,1,0,0,0,0,0,0,
CCCCCCCC(=O)N(CCCCCC)CCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,sys_ff4802a276,DHOA + TODGA,0,0,0,4,4,0,0,1,0,0,0,0,0,1,Eu
CCCCN(C)C(=O)CC(=O)N(C)CCCC,sys_b12cae735d,N-N-dibutyl-N-N-dimethylpropanediamide,0,0,0,3,3,0,0,1,0,0,0,0,0,2,La|Eu
