extractant_system_key,system_id,system_label,primary_name_modal,n_distinct_name_strings,n_components,system_component_classes,total_rows,total_publications,n_metal_state_columns,n_metal_states_known_ox,n_elements,La(III),La(?),Ce(III),Ce(?),Pr(III),Pr(?),Nd(III),Nd(?),Pm(III),Sm(III),Sm(?),Eu(III),Eu(?),Gd(III),Gd(?),Tb(III),Tb(?),Dy(III),Dy(?),Ho(III),Ho(?),Er(III),Er(?),Tm(III),Tm(?),Yb(III),Yb(?),Lu(III),Lu(?),Sc(?),Y(III),Y(?),Th(IV),Th(?),Pa(V),U(IV),U(VI),U(?),Np(IV),Np(V),Np(VI),Pu(III),Pu(IV),Pu(VI),Pu(?),Am(III),Am(VI),Am(?),Cm(III),Cm(?),Cf(III),Cr(?),Fe(?),Zr(IV),Zr(?),Mo(?),Tc(VII),Ru(?),Pd(II),Pd(IV),Hf(IV),Cd(II),In(III),Pb(II),Pb(?),Bi(III),Bi(?),Ca(II),Ca(?),Sr(II),Sr(III),Sr(?),Ba(II),Ba(?)
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,sys_fab2c8c09b,2-[1-(dioctylamino)-1-oxopropan-2-yl]oxy-N-N-dioctylpropanamide,2-[1-(dioctylamino)-1-oxopropan-2-yl]oxy-N-N-dioctylpropanamide,4,1,SINGLE_EXTRACTANT,64,5,15,15,15,2,0,1,0,1,0,1,0,0,1,0,4,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,sys_1e2196cbb0,ADAAM(EH),ADAAM(EH),1,1,SINGLE_EXTRACTANT,63,1,2,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCCCC(=O)N(CCCCCC)CCCCCC,sys_9ccc7d20e3,DHDA,DHDA,1,1,SINGLE_EXTRACTANT,63,2,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCC(CC)C(=O)N(CCCC)CCCC,sys_b4dc370dad,DBEHA,DBEHA,1,1,SINGLE_EXTRACTANT,61,3,8,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,1,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,sys_246a44700e,TIBDGA,TIBDGA,1,1,SINGLE_EXTRACTANT,60,2,11,11,11,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,sys_8e1bd18b78,NTAamide(C8),NTAamide(C8),2,1,EXTRACTANT_PLUS_AQUEOUS_AGENT|SINGLE_EXTRACTANT,58,3,16,16,16,1,0,1,0,1,0,1,0,0,1,0,3,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)N(CCC(C)C)CCC(C)C,sys_f9a2ef66bb,TiADGA,TiADGA,1,1,SINGLE_EXTRACTANT,52,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,sys_e2e1d49929,p-TODGA-Syn,p-TODGA-Syn,1,1,SINGLE_EXTRACTANT,52,1,18,18,17,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCN(CCCCCC)C(=O)C(CC)CCCC,sys_09da99e984,DHEHA,DHEHA,1,1,SINGLE_EXTRACTANT,48,2,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCCCCCC(=O)N(CC)CC,sys_0bcdeb96e8,DEDoDA,DEDoDA,1,1,SINGLE_EXTRACTANT,47,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,sys_10dba3fc27,LL9,LL9,1,1,SINGLE_EXTRACTANT,47,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,sys_8994d875ff,T8-PHEN-CAM,T8-PHEN-CAM,2,1,SINGLE_EXTRACTANT,47,2,15,15,15,1,0,1,0,1,0,1,0,0,1,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,sys_ab0b83ca7a,tBu-CyMe4-BTBP,tBu-CyMe4-BTBP,1,1,SINGLE_EXTRACTANT,46,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
