extractant,extractant_name,family,cohort_n_cells,source_n_cells,chem__ecfp_cluster,chem__supercluster,max_tanimoto_to_base,nearest_base_partner,n_base_above_0_7
O=P(c1ccccc1)(c1ccccc1)c1ccc2ccc3ccc(P(=O)(c4ccccc4)c4ccccc4)nc3c2n1,2-9-bis(diphenylphosphoryl)-1-10-phenanthroline,phosphoryl,3,3,ec157,sc091,0.2558139534883721,CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,0
CCCCCCCCn1cc(-c2cc(CC(=O)O)cc(-c3cn(CCCCCCCC)nn3)n2)nn1,EsPyTri,n_heterocyclic_polydentate,5,5,ec098,sc056,0.2727272727272727,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,0
CC(C)(C)Cc1cc(-c2cccc(-c3cc(CC(C)(C)C)[nH]n3)n2)n[nH]1,C5-BPP,n_heterocyclic_polydentate,7,7,ec002,sc002,0.28,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,0
O=C(c1ccccc1)c1ccc2ccccc2n1,2PQM,other,6,6,ec156,sc090,0.3,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0
CCOP(=O)(OCC)c1ccc2ccc3ccc(P(=O)(OCC)OCC)nc3c2n1,2-9-bis(diethoxyphosphoryl)-1-10-phenanthroline,phosphoryl,3,3,ec137,sc073,0.3333333333333333,CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,0
CCCCOP(=S)(COCP(=S)(OCCCC)OCCCC)OCCCC,TWE-29,sulfur_donor,6,6,ec120,sc064,0.3548387096774194,CCCCCCOP(=O)(O)OCCCCCC,0
CCCCCCCCCCCCNC(=O)c1cc(=O)cc(C(=O)NCCCCCCCCCCCC)o1,DO-PyranDGA,diglycolamide,3,3,ec036,sc022,0.3584905660377358,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,0
CCCCOP(=S)(CP(=S)(OCCCC)OCCCC)OCCCC,TWE-24,sulfur_donor,6,6,ec121,sc065,0.3793103448275862,CCCCCCOP(=O)(O)OCCCCCC,0
CCCCCCCCOc1cc(C(=O)N(C)c2ccc(C(C)(C)C)cc2)nc(C(=O)N(C)c2ccc(C(C)(C)C)cc2)c1,CHELI2,amide_other,3,3,ec094,sc053,0.38,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0
CCCCN(CCCC)C(=O)C(Cc1ccccc1CC(C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC,N-N-N-N-tetrabutyl-2-[[2-[3-(dibutylamino)-2-(dibutylcarbamoyl)-3-oxopropyl]phenyl]methyl]propanediamide,malonamide,4,4,ec109,sc062,0.44680851063829785,CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,0
CCCCN(CCCC)C(=O)c1ccccc1C(=O)O,2-(dibutylcarbamoyl)benzoic acid,amide_other,3,3,ec119,sc063,0.475,CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,0
CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(OCCCC)OCCCC,TWE-35,phosphoryl,6,6,ec068,sc041,0.47619047619047616,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,0
CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(CCCC)CCCC,TWE-36,phosphoryl,6,6,ec067,sc040,0.4864864864864865,CCCCCCCCN(CCCCCCCC)C(=O)CO,0
CCCCCCCCN(CCCCCCCC)C(=O)C1CCC(C(=O)N(CCCCCCCC)CCCCCCCC)O1,LLL14,diglycolamide,5,5,ec059,sc035,0.5,CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,0
CCCCCCCCN(CCCCCCCC)C(=S)c1ccc(C(=S)N(CCCCCCCC)CCCCCCCC)s1,T8-THP-TAM,sulfur_donor,4,4,ec090,sc049,0.5384615384615384,CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1,0
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc(C(=O)N(CCCCCCCC)CCCCCCCC)s1,T8-THP-CAM,amide_other,4,4,ec087,sc048,0.5384615384615384,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,0
CCCCN(C)C(=O)CC(=O)N(C)CCCC,N-N-dibutyl-N-N-dimethylpropanediamide,malonamide,9,9,ec108,sc031,0.5517241379310345,CCCCCCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCCCCCC,0
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,TIBDGA,diglycolamide,8,8,ec010,sc010,0.56,CCN(CC)C(=O)COCC(=O)N(CC)CC,0
CCN(CC)C(=O)c1ccc2ccc3cccnc3c2n1,C2-PTA,n_heterocyclic_polydentate,7,7,ec136,sc029,0.5609756097560976,CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,0
CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,Cy5-O-Me4-BTBP,n_heterocyclic_polydentate,5,5,ec014,sc013,0.6111111111111112,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21,0
CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,N-N-N-N-tetrabutylbutanediamide,amide_other,5,5,ec111,sc036,0.64,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,0
CCCCN(CCCC)C(=O)CC(=O)N(CCCC)CCCC,N-N-N-N-tetrabutylpropanediamide,malonamide,9,9,ec110,sc036,0.64,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,0
CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(OCCCC)OCCCC,TWE-33,phosphoryl,6,6,ec085,sc046,0.6666666666666666,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,0
CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,2-EH-C9-B8D(iB)CMPO,phosphoryl,6,6,ec023,sc017,0.673469387755102,CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,0
CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(CCCC)CCCC,TWE-34,phosphoryl,6,6,ec084,sc045,0.6764705882352942,CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,0
CCCCCCN(C)C(=O)CC(=O)N(C)CCCCCC,N-N-dihexyl-N-N-dimethylpropanediamide,malonamide,9,9,ec048,sc031,0.6785714285714286,CCCCCCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCCCCCC,0
CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,N-N-dimethyl-N-N-dioctylpropanediamide,malonamide,9,9,ec048,sc031,0.6785714285714286,CCCCCCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCCCCCC,0
CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,CyMe4-BTPhen,n_heterocyclic_polydentate,6,6,ec011,sc011,0.6857142857142857,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21,0
CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,2-hexyl-N-N-dimethyl-N-N-dioctylpropanediamide,malonamide,9,9,ec046,sc030,0.7058823529411765,CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,1
CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,N-N-N-N-tetrahexylpropanediamide,malonamide,9,9,ec060,sc036,0.72,CCCCCCCCN(CCCCCCCC)C(=O)CO,1
CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,N-N-N-N-tetraoctylpropanediamide,malonamide,9,9,ec060,sc036,0.72,CCCCCCCCN(CCCCCCCC)C(=O)CO,1
CCCCN(CCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCC)CCCC)C(C)C)C(C)C,TBi-PE-BisDGA,diglycolamide,6,6,ec114,sc009,0.7333333333333333,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,1
CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,DIBDODGA,diglycolamide,8,8,ec053,sc009,0.7419354838709677,CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,9
CCN(C(=O)c1ccc2ccc3ccc(C(=O)N(CC)c4ccc(C)cc4)nc3c2n1)c1ccc(C)cc1,2-N-9-N-diethyl-2-N-9-N-bis(4-methylphenyl)-1-10-phenanthroline-2-9-dicarboxamide,n_heterocyclic_polydentate,3,3,ec126,sc068,0.7631578947368421,CCc1ccc(N(CC)C(=O)c2ccc3ccc4ccc(C(=O)N(CC)c5ccc(CC)cc5)nc4c3n2)cc1,2
CCCCN(CCCC)C(=O)c1ccc2ccc3cccnc3c2n1,C4-PTA,n_heterocyclic_polydentate,6,6,ec118,sc029,0.7894736842105263,CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,2
CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,D2EHDODGA,diglycolamide,8,8,ec054,sc009,0.8,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,2
CCCCCCN(CCCCCC)C(=O)c1ccc2ccc3cccnc3c2n1,C6-PTA,n_heterocyclic_polydentate,6,6,ec101,sc029,0.8,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,3
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1ccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc1,LL3,diglycolamide,9,9,ec082,sc009,0.8181818181818182,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,1
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,6-MH-C9-B8D(iB)CMPO,phosphoryl,6,6,ec008,sc008,0.8333333333333334,CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,1
CCCCN(CCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCC)CCCC,TBEE-BisDGA,diglycolamide,6,6,ec112,sc009,0.8461538461538461,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,11
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,DMDOaDGA,diglycolamide,7,7,ec072,sc009,0.8571428571428571,CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,16
CCCCCCOCCC(C(=O)N(C)CCCC)C(=O)N(C)CCCC,N-N-dibutyl-2-(2-hexoxyethyl)-N-N-dimethylpropanediamide,malonamide,6,6,ec102,sc030,0.9393939393939394,CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,1
CCCCCN(CCCCC)C(=O)COCC(=O)N(CCCCC)CCCCC,TPDGA,diglycolamide,3,3,ec106,sc009,0.9583333333333334,CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,18
CCCCCCN(CCCCCC)C(=O)COCC(=O)N1CCCCC1,DHpipDGA,diglycolamide,8,8,ec074,sc044,1.0,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCCCC1,4
CCCCCCN(CCCCCC)C(=O)COCC(=O)N1CCOCC1,DHmorDGA,diglycolamide,8,8,ec075,sc044,1.0,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCOCC1,4
