# regime: cohort=Pr/Nd case: literature placeholder entries PC88A and Cyanex 272 (no corpus rows), feed_status assumed (U1); holdout=none (computed regimes, consistency checks are not validation); averaging_unit=draw (parameter draw, seed 18); status_of_parameters=PLACEHOLDER_PARAMETERS (assumed with ranges, --allow-placeholders), feed_status assumed, spec_status assumed
draw,log_k_Nd,sf_nd_pr,sf_mode,log_k_Pr,log_k_Pr_clipped,a_dimer,b_proton
24,-2.4756082156690282,1.3479083718781437,uniform in the placeholder range,-2.6052685863993212,False,2.8039910048320533,2.998464832903346
25,-1.9490639372274488,1.3642735513266622,uniform in the placeholder range,-2.0839653969323493,False,2.9868305006530744,2.1295092045092248
26,-2.7063590748714397,1.451262169167017,uniform in the placeholder range,-2.868104949292438,False,2.6525713450100357,2.3750567412405097
27,-2.259509018059415,1.4033449719445814,uniform in the placeholder range,-2.4066734610022724,False,2.8924116878240267,2.294120510108241
28,-1.8757437805876465,1.3178570457574772,uniform in the placeholder range,-1.995612083405685,False,2.649715423474666,2.404282611850008
29,-2.5135835982658703,1.4671591485959838,uniform in the placeholder range,-2.680060824316505,False,2.040254692285008,2.9810704568281743
30,-1.9042919110795782,1.470155103281599,uniform in the placeholder range,-2.071655066879379,False,2.790992842071831,2.6709572567114592
31,-1.3956839479998695,1.354345089687785,uniform in the placeholder range,-1.527413285504014,False,2.145617605945001,2.055946666703715
32,-2.821631491217572,1.3158616675271493,uniform in the placeholder range,-2.9408417268576876,False,2.4096121781105335,2.9893908889393934
33,-1.6672216529695825,1.3457838824549293,uniform in the placeholder range,-1.796196975715506,False,2.530247539782771,2.985243884423078
34,-2.6473832053938966,1.364582951186909,uniform in the placeholder range,-2.782383146387541,False,2.1143535988039455,2.152958192366004
35,-2.440448673914143,1.3351631386158949,uniform in the placeholder range,-2.5659830076836743,False,2.908301618032068,2.664203263323687
36,-1.9453694715107654,1.3902599441122632,uniform in the placeholder range,-2.0884654816489414,False,2.5798051792464927,2.044548235550073
37,-2.0515561189322398,1.3264891218142265,uniform in the placeholder range,-2.1742598117312317,False,2.9950004195754953,2.012083668474914
38,-2.3516611836491306,1.3914840136126203,uniform in the placeholder range,-2.495139404854797,False,2.325161290237481,2.5345439664826883
39,-2.8416040795015576,1.4892703317460747,uniform in the placeholder range,-3.0145776173675234,False,2.264544669615491,2.5066299892654595
40,-1.618274840933951,1.474961212127153,uniform in the placeholder range,-1.787055440515498,False,2.9956680925948396,2.2456186692048803
41,-2.3013514809230475,1.3533208741995986,uniform in the placeholder range,-2.4327522615357977,False,2.527915816330708,2.8894861890830446
42,-1.046411411318604,1.4505707699181278,uniform in the placeholder range,-1.207950333175089,False,2.1536233992012273,2.851257876442146
43,-2.700200224223839,1.3913099103426871,uniform in the placeholder range,-2.843624102857559,False,2.183885140193563,2.5753926529113342
44,-2.2462365851926465,1.3123346432394227,uniform in the placeholder range,-2.364281178754224,False,2.511411063356658,2.1631173160143087
45,-1.3751877095666651,1.4013100130056277,uniform in the placeholder range,-1.5217219348193505,False,2.4221740755115695,2.1649070006215876
46,-1.0126384127391834,1.3596113433784747,uniform in the placeholder range,-1.1460531920292338,False,2.60054081264129,2.5852354958518724
47,-1.6017519436025323,1.3413681406907882,uniform in the placeholder range,-1.7292999306477925,False,2.3573917982317028,2.9703163938033366
48,-1.0315008180502034,1.4767494864746291,uniform in the placeholder range,-1.2008076465583364,False,2.541325752810546,2.088486528417677
49,-1.1242662295496522,1.492843709267145,uniform in the placeholder range,-1.2982805719325348,False,2.7209762840694376,2.571875598896338
50,-1.7813944202367946,1.48213590698668,uniform in the placeholder range,-1.952282449081283,False,2.7113697139355546,2.847237965101611
51,-2.5035520863047718,1.3634976371901188,uniform in the placeholder range,-2.638206475992628,False,2.2434930401752338,2.6335685347811153
52,-1.8191109651779922,1.3221331730887285,uniform in the placeholder range,-1.9403861672449099,False,2.049803531646796,2.3219341930859736
53,-1.2930132662817542,1.4477065339380921,uniform in the placeholder range,-1.4536938007891052,False,2.389620268341334,2.2296805377031257
54,-1.1943365213142325,1.4369066884064134,uniform in the placeholder range,-1.3517650876210503,False,2.671616247320198,2.972697693489032
55,-1.9735562168207919,1.3130416291881792,uniform in the placeholder range,-2.0918347121715906,False,2.6420432487163525,2.100463166049354
56,-2.6143144517183488,1.4586437690135177,uniform in the placeholder range,-2.7782636928635056,False,2.1579731964672764,2.9454081531420404
57,-1.4603276842352653,1.4861317967607364,uniform in the placeholder range,-1.6323850105291076,False,2.379483957766661,2.3272055214243954
58,-1.0359328839354833,1.3521984086107601,uniform in the placeholder range,-1.1669733044189043,False,2.4714352965011015,2.981755985975252
59,-2.8703962036130006,1.3437919280266402,uniform in the placeholder range,-2.9987282316273083,False,2.9371647030297527,2.207949590431153
60,-1.5898183296428716,1.397207278204335,uniform in the placeholder range,-1.7350791689014582,False,2.8378057701122974,2.879721264592115
61,-1.861541350766517,1.4489832750246205,uniform in the placeholder range,-2.0226047233968103,False,2.427562959062105,2.52687979703126
62,-2.512677792287818,1.4341217287630361,uniform in the placeholder range,-2.669263808254442,False,2.9991071685333126,2.4253765653954487
63,-1.473535221084344,1.488667650928175,uniform in the placeholder range,-1.646332972242421,False,2.731662775960092,2.8448719767724775
