arm,half,seed,v1_outer_fold_unit,n_rows,mae,mse,rmse,mean_error,unit_reading,unit
B0,selection,,,26,2.08105,4.69267,2.16626,0.131317,exploratory: publication group (the as-run pre-seal V1 reading),pub_74428aeab2
B0,selection,,,1,3.11503,9.70343,3.11503,3.11503,exploratory: publication group (the as-run pre-seal V1 reading),pub_792969545c
B0,selection,,,16,0.992615,1.16257,1.07823,-0.992615,exploratory: publication group (the as-run pre-seal V1 reading),pub_84113c17ad
B0,selection,,,120,1.15638,2.67706,1.63617,0.574319,exploratory: publication group (the as-run pre-seal V1 reading),pub_8415538291
B0,selection,,,3,0.477684,0.271767,0.521313,-0.477684,exploratory: publication group (the as-run pre-seal V1 reading),pub_886ede1e0e
B0,selection,,,47,1.06397,1.95167,1.39702,0.585773,exploratory: publication group (the as-run pre-seal V1 reading),pub_8a081dc888
B0,selection,,,63,0.634522,0.574932,0.758243,0.219689,exploratory: publication group (the as-run pre-seal V1 reading),pub_8dafaf94bc
B0,selection,,,27,0.946479,1.13906,1.06727,-0.723722,exploratory: publication group (the as-run pre-seal V1 reading),pub_917a4583d4
B0,selection,,,108,1.00063,1.65204,1.28532,0.271728,exploratory: publication group (the as-run pre-seal V1 reading),pub_92fd5bea1e
B0,selection,,,12,0.239153,0.0772084,0.277864,-0.0387379,exploratory: publication group (the as-run pre-seal V1 reading),pub_9428119866
B0,selection,,,21,1.20602,1.80859,1.34484,1.20089,exploratory: publication group (the as-run pre-seal V1 reading),pub_97510df3a0
B0,selection,,,40,0.322768,0.195048,0.441643,-0.0243922,exploratory: publication group (the as-run pre-seal V1 reading),pub_a470dfb784
B0,selection,,,50,1.07613,1.65229,1.28541,-0.113852,exploratory: publication group (the as-run pre-seal V1 reading),pub_a9266a9412
B0,selection,,,133,0.970093,1.50651,1.2274,-0.566395,exploratory: publication group (the as-run pre-seal V1 reading),pub_ad5a7268e5
B0,selection,,,14,1.29945,3.42494,1.85066,1.13773,exploratory: publication group (the as-run pre-seal V1 reading),pub_af7a1cd919
B0,selection,,,228,0.846414,1.08972,1.0439,0.0101247,exploratory: publication group (the as-run pre-seal V1 reading),pub_b0b3296ec5
B0,selection,,,35,0.986387,1.50345,1.22615,0.861795,exploratory: publication group (the as-run pre-seal V1 reading),pub_b155314682
B0,selection,,,16,1.01677,1.43853,1.19939,-0.077827,exploratory: publication group (the as-run pre-seal V1 reading),pub_b4273fb42a
B0,selection,,,14,1.41055,2.08308,1.44329,1.41055,exploratory: publication group (the as-run pre-seal V1 reading),pub_b8175dc3a1
B0,selection,,,208,0.499494,0.448249,0.669514,0.102095,exploratory: publication group (the as-run pre-seal V1 reading),pub_b92b9c1ebe
B0,selection,,,14,1.35155,2.40412,1.55052,0.742957,exploratory: publication group (the as-run pre-seal V1 reading),pub_c07b8473b8
B0,selection,,,4,1.59114,2.53291,1.59151,-1.59114,exploratory: publication group (the as-run pre-seal V1 reading),pub_c649e663f3
B0,selection,,,31,0.6926,0.810065,0.900036,0.158472,exploratory: publication group (the as-run pre-seal V1 reading),pub_c929bc0daa
B0,selection,,,94,1.74668,4.30455,2.07474,0.865202,exploratory: publication group (the as-run pre-seal V1 reading),pub_cdc2243314
B0,selection,,,15,1.05653,1.48228,1.21749,0.218326,exploratory: publication group (the as-run pre-seal V1 reading),pub_d3c970567f
B0,selection,,,3,0.422533,0.214805,0.46347,-0.422533,exploratory: publication group (the as-run pre-seal V1 reading),pub_dc1c90a4de
B0,selection,,,1096,1.95677,5.01356,2.2391,0.969028,exploratory: publication group (the as-run pre-seal V1 reading),pub_e287124c22
B0,selection,,,36,1.62118,3.35963,1.83293,-1.59765,exploratory: publication group (the as-run pre-seal V1 reading),pub_f5d1922154
B0,selection,,,5,1.41961,2.01841,1.42071,1.41961,exploratory: publication group (the as-run pre-seal V1 reading),pub_f6d85bdb79
B0,selection,,,3,0.257435,0.0733126,0.270763,-0.257435,exploratory: publication group (the as-run pre-seal V1 reading),pub_f926473989
B0,confirmation,,pub_007f4c9de0,35,1.22903,2.37015,1.53953,0.923267,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_04794d6d09,642,1.22529,2.14236,1.46368,-0.472981,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_0c3788daa5,33,1.53549,2.96222,1.72111,-0.619402,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_0fd6ab4e40,29,1.48994,2.32667,1.52534,1.48994,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_10aec04d23,67,0.935355,1.55062,1.24524,0.644949,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_1605e436d7,154,0.975026,1.30114,1.14067,-0.028166,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_1927dff570,20,1.1008,1.36229,1.16717,1.1008,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_1b7737c507,261,1.03531,1.78139,1.33469,0.69958,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_1c1b558856,72,2.22648,5.93481,2.43615,-2.22648,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_1d18e32c4e,101,1.21391,1.80302,1.34277,-0.828493,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_1e6fec5c25,22,1.01476,1.66061,1.28865,0.824603,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_23f10a0918,269,0.595757,0.764337,0.874264,0.214433,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_3e0f6bb1b5,28,1.11055,1.55293,1.24617,0.145048,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_40c355ae86,24,0.662057,0.607432,0.779379,-0.369254,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_457a2adba4,28,1.23967,1.86787,1.3667,-1.15094,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_4f42448406,81,0.781959,1.03794,1.01879,0.548839,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_515c63b970,90,0.473207,0.282986,0.531964,-0.244667,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_51c0693f9c,116,0.850373,1.27782,1.13041,0.0238062,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_51ddfefa0c,96,1.36385,6.27865,2.50572,1.0197,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_56338b6e47,192,1.41137,3.06451,1.75057,0.99559,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_58ab6ca575,55,0.679622,0.665443,0.815747,-0.502868,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_5a68dc5665,874,1.1736,1.94763,1.39557,0.488472,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_63013e43b6,48,1.14176,2.03954,1.42812,0.867038,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_691fc07992,75,1.515,3.47606,1.86442,-1.27628,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_6a0ef8528c,164,3.08129,10.5169,3.24298,3.08129,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_86cd2c5ec0,36,1.48724,3.02769,1.74003,0.315666,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_9a95bb9836,110,1.04959,1.63461,1.27852,0.420786,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_a49146c8fd,51,1.82973,4.00263,2.00066,1.46016,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_a671b3a07d,140,0.909708,1.39097,1.1794,0.479156,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_aed382b25f,36,1.62905,4.01808,2.00451,-1.43332,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_b048b54fa9,93,1.31158,2.48166,1.57533,0.753218,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_b62729e38f,53,0.641518,0.812107,0.90117,0.308675,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_b9dfc468cd,136,0.503688,0.374394,0.611877,-0.225018,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_bdb1564c49,134,1.17636,1.9696,1.40342,-1.11945,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_bef16e560c,48,1.07066,1.54171,1.24165,-0.220152,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_c8195b4ca7,216,1.79769,3.8411,1.95987,-1.79252,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_ca616a18dd,28,0.857676,0.870048,0.932763,-0.857676,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_ca7dd9b99d,303,1.59867,3.4542,1.85855,1.18369,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_cd72e4a7bb,135,1.345,2.76488,1.66279,-0.574743,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_d59c40b453,37,1.44818,2.85164,1.68868,-0.23164,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_dfa96a5118,42,1.25919,1.97082,1.40386,-0.876463,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_e4bbba9576,89,0.858434,1.08509,1.04167,-0.281507,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_e4dd361427,10,1.6283,3.34116,1.82788,1.30044,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_e9799b75f3,56,0.315952,0.1583,0.39787,-0.00378064,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,,35,1.22903,2.37015,1.53953,0.923267,exploratory: publication group (the as-run pre-seal V1 reading),pub_007f4c9de0
B0,confirmation,,,642,1.22529,2.14236,1.46368,-0.472981,exploratory: publication group (the as-run pre-seal V1 reading),pub_04794d6d09
B0,confirmation,,,33,1.53549,2.96222,1.72111,-0.619402,exploratory: publication group (the as-run pre-seal V1 reading),pub_0c3788daa5
B0,confirmation,,,29,1.48994,2.32667,1.52534,1.48994,exploratory: publication group (the as-run pre-seal V1 reading),pub_0fd6ab4e40
B0,confirmation,,,67,0.935355,1.55062,1.24524,0.644949,exploratory: publication group (the as-run pre-seal V1 reading),pub_10aec04d23
B0,confirmation,,,154,0.975026,1.30114,1.14067,-0.028166,exploratory: publication group (the as-run pre-seal V1 reading),pub_1605e436d7
B0,confirmation,,,20,1.1008,1.36229,1.16717,1.1008,exploratory: publication group (the as-run pre-seal V1 reading),pub_1927dff570
B0,confirmation,,,261,1.03531,1.78139,1.33469,0.69958,exploratory: publication group (the as-run pre-seal V1 reading),pub_1b7737c507
B0,confirmation,,,72,2.22648,5.93481,2.43615,-2.22648,exploratory: publication group (the as-run pre-seal V1 reading),pub_1c1b558856
B0,confirmation,,,101,1.21391,1.80302,1.34277,-0.828493,exploratory: publication group (the as-run pre-seal V1 reading),pub_1d18e32c4e
B0,confirmation,,,22,1.01476,1.66061,1.28865,0.824603,exploratory: publication group (the as-run pre-seal V1 reading),pub_1e6fec5c25
B0,confirmation,,,269,0.595757,0.764337,0.874264,0.214433,exploratory: publication group (the as-run pre-seal V1 reading),pub_23f10a0918
B0,confirmation,,,28,1.11055,1.55293,1.24617,0.145048,exploratory: publication group (the as-run pre-seal V1 reading),pub_3e0f6bb1b5
B0,confirmation,,,24,0.662057,0.607432,0.779379,-0.369254,exploratory: publication group (the as-run pre-seal V1 reading),pub_40c355ae86
B0,confirmation,,,28,1.23967,1.86787,1.3667,-1.15094,exploratory: publication group (the as-run pre-seal V1 reading),pub_457a2adba4
B0,confirmation,,,81,0.781959,1.03794,1.01879,0.548839,exploratory: publication group (the as-run pre-seal V1 reading),pub_4f42448406
B0,confirmation,,,90,0.473207,0.282986,0.531964,-0.244667,exploratory: publication group (the as-run pre-seal V1 reading),pub_515c63b970
B0,confirmation,,,116,0.850373,1.27782,1.13041,0.0238062,exploratory: publication group (the as-run pre-seal V1 reading),pub_51c0693f9c
B0,confirmation,,,96,1.36385,6.27865,2.50572,1.0197,exploratory: publication group (the as-run pre-seal V1 reading),pub_51ddfefa0c
B0,confirmation,,,192,1.41137,3.06451,1.75057,0.99559,exploratory: publication group (the as-run pre-seal V1 reading),pub_56338b6e47
B0,confirmation,,,55,0.679622,0.665443,0.815747,-0.502868,exploratory: publication group (the as-run pre-seal V1 reading),pub_58ab6ca575
B0,confirmation,,,874,1.1736,1.94763,1.39557,0.488472,exploratory: publication group (the as-run pre-seal V1 reading),pub_5a68dc5665
B0,confirmation,,,48,1.14176,2.03954,1.42812,0.867038,exploratory: publication group (the as-run pre-seal V1 reading),pub_63013e43b6
B0,confirmation,,,75,1.515,3.47606,1.86442,-1.27628,exploratory: publication group (the as-run pre-seal V1 reading),pub_691fc07992
B0,confirmation,,,164,3.08129,10.5169,3.24298,3.08129,exploratory: publication group (the as-run pre-seal V1 reading),pub_6a0ef8528c
B0,confirmation,,,36,1.48724,3.02769,1.74003,0.315666,exploratory: publication group (the as-run pre-seal V1 reading),pub_86cd2c5ec0
B0,confirmation,,,110,1.04959,1.63461,1.27852,0.420786,exploratory: publication group (the as-run pre-seal V1 reading),pub_9a95bb9836
B0,confirmation,,,51,1.82973,4.00263,2.00066,1.46016,exploratory: publication group (the as-run pre-seal V1 reading),pub_a49146c8fd
B0,confirmation,,,140,0.909708,1.39097,1.1794,0.479156,exploratory: publication group (the as-run pre-seal V1 reading),pub_a671b3a07d
B0,confirmation,,,36,1.62905,4.01808,2.00451,-1.43332,exploratory: publication group (the as-run pre-seal V1 reading),pub_aed382b25f
B0,confirmation,,,93,1.31158,2.48166,1.57533,0.753218,exploratory: publication group (the as-run pre-seal V1 reading),pub_b048b54fa9
B0,confirmation,,,53,0.641518,0.812107,0.90117,0.308675,exploratory: publication group (the as-run pre-seal V1 reading),pub_b62729e38f
B0,confirmation,,,136,0.503688,0.374394,0.611877,-0.225018,exploratory: publication group (the as-run pre-seal V1 reading),pub_b9dfc468cd
B0,confirmation,,,134,1.17636,1.9696,1.40342,-1.11945,exploratory: publication group (the as-run pre-seal V1 reading),pub_bdb1564c49
B0,confirmation,,,48,1.07066,1.54171,1.24165,-0.220152,exploratory: publication group (the as-run pre-seal V1 reading),pub_bef16e560c
B0,confirmation,,,216,1.79769,3.8411,1.95987,-1.79252,exploratory: publication group (the as-run pre-seal V1 reading),pub_c8195b4ca7
B0,confirmation,,,28,0.857676,0.870048,0.932763,-0.857676,exploratory: publication group (the as-run pre-seal V1 reading),pub_ca616a18dd
B0,confirmation,,,303,1.59867,3.4542,1.85855,1.18369,exploratory: publication group (the as-run pre-seal V1 reading),pub_ca7dd9b99d
