symbol,oxidation_state,metal_state_label,category_state_key,row_origin,in_archive,state_plausible,hsab_class_basis,Z,Z_source,name,name_source,period,period_source,group,group_source,block,block_source,category,category_source,series,series_source,series_index,series_index_source,oxidation_state_source,formal_charge,formal_charge_source,species_form,species_form_source,species_charge,species_charge_source,effective_charge,effective_charge_source,f_electron_count,f_electron_count_source,d_electron_count,d_electron_count_source,electron_configuration,electron_configuration_source,radius_cn6_A,radius_cn6_A_source,radius_cn8_A,radius_cn8_A_source,radius_cn9_A,radius_cn9_A_source,electronegativity_pauling,electronegativity_pauling_source,hsab_class,hsab_class_source,polarizability_atom_au,polarizability_atom_au_source
Zr,,,,archive,True,,,40,definition: IUPAC atomic number,zirconium,definition: IUPAC English element name,5,definition: IUPAC periodic table row,4,definition: IUPAC group 1-18,d,definition: Aufbau block; La/Lu/Ac labelled f as series members (convention of gen11 metalrep.PERIODIC_TABLE),transition_metal,"gen19 convention = dataset_all_metals/scripts/sae_chem.py metal_category (Y, Sc rare_earth_non_lanthanide; Cd post_transition_metal)",none,"definition: Ln = La-Lu (Z 57-71), An = Ac-Lr (Z 89-103), else none",,NA_REASON: not a lanthanide or actinide,NA_REASON: archive did not record an oxidation state for these rows,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,1.33,"Pauling scale; Allred, J. Inorg. Nucl. Chem. 17 (1961) 215 and Huheey, Keiter & Keiter, Inorganic Chemistry 4th ed. (1993), as quoted by WebElements; transcribed from Wikipedia 'Electronegativities of the elements (data page)', accessed 2026-09-14",,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,"NA_REASON: Schwerdtfeger & Nagle, Mol. Phys. 117 (2019) 1200, doi:10.1080/00268976.2018.1535143 (2018 table) could not be opened during this build (tandfonline/ingentaconnect HTTP 403; ctcp.massey.ac.nz and github.com unresolvable from the build host); values are not transcribed from memory"
Zr,4,Zr(IV),transition_metal(IV),archive,True,True,recalled,40,definition: IUPAC atomic number,zirconium,definition: IUPAC English element name,5,definition: IUPAC periodic table row,4,definition: IUPAC group 1-18,d,definition: Aufbau block; La/Lu/Ac labelled f as series members (convention of gen11 metalrep.PERIODIC_TABLE),transition_metal,"gen19 convention = dataset_all_metals/scripts/sae_chem.py metal_category (Y, Sc rare_earth_non_lanthanide; Cd post_transition_metal)",none,"definition: Ln = La-Lu (Z 57-71), An = Ac-Lr (Z 89-103), else none",,NA_REASON: not a lanthanide or actinide,archive: dataset_all_metals master_clean metal_oxidation_state,4,definition: formal ionic charge = oxidation state,free_ion,definition: formal bare cation M(z+),4,definition: charge of the bare cation = oxidation state,4,"definition on the Choppin electrostatic scale: bare cation Z_eff = z (Choppin & Rao, Radiochim. Acta 37 (1984) 143-146, doi:10.1524/ract.1984.37.3.143 (NpO2+ 2.2, UO2 2+ 3.2; as quoted in OSTI 1366418))",0,"definition (ionic model): noble-gas core + (n-2)f/(n-1)d occupancy from Z and oxidation state; f = Z-54-z (Ln), Z-86-z (An); d = group-z (d-block)",0,"definition (ionic model): noble-gas core + (n-2)f/(n-1)d occupancy from Z and oxidation state; f = Z-54-z (Ln), Z-86-z (An); d = group-z (d-block)",[Kr],"definition (ionic model): noble-gas core + (n-2)f/(n-1)d occupancy from Z and oxidation state; f = Z-54-z (Ln), Z-86-z (An); d = group-z (d-block)",0.72,"Shannon, R. D. Acta Cryst. A32 (1976) 751-767, Table 1, effective ionic radius (IR), CN=VI",0.84,"Shannon, R. D. Acta Cryst. A32 (1976) 751-767, Table 1, effective ionic radius (IR), CN=VIII",0.89,"Shannon, R. D. Acta Cryst. A32 (1976) 751-767, Table 1, effective ionic radius (IR), CN=IX",1.33,"Pauling scale; Allred, J. Inorg. Nucl. Chem. 17 (1961) 215 and Huheey, Keiter & Keiter, Inorganic Chemistry 4th ed. (1993), as quoted by WebElements; transcribed from Wikipedia 'Electronegativities of the elements (data page)', accessed 2026-09-14",hard,"Pearson, J. Am. Chem. Soc. 85 (1963) 3533, Table I (standard textbook list; not re-checked against the printed table in this build)",,"NA_REASON: Schwerdtfeger & Nagle, Mol. Phys. 117 (2019) 1200, doi:10.1080/00268976.2018.1535143 (2018 table) could not be opened during this build (tandfonline/ingentaconnect HTTP 403; ctcp.massey.ac.nz and github.com unresolvable from the build host); values are not transcribed from memory"
Mo,,,,archive,True,,,42,definition: IUPAC atomic number,molybdenum,definition: IUPAC English element name,5,definition: IUPAC periodic table row,6,definition: IUPAC group 1-18,d,definition: Aufbau block; La/Lu/Ac labelled f as series members (convention of gen11 metalrep.PERIODIC_TABLE),transition_metal,"gen19 convention = dataset_all_metals/scripts/sae_chem.py metal_category (Y, Sc rare_earth_non_lanthanide; Cd post_transition_metal)",none,"definition: Ln = La-Lu (Z 57-71), An = Ac-Lr (Z 89-103), else none",,NA_REASON: not a lanthanide or actinide,NA_REASON: archive did not record an oxidation state for these rows,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,2.16,"Pauling scale; Allred, J. Inorg. Nucl. Chem. 17 (1961) 215 and Huheey, Keiter & Keiter, Inorganic Chemistry 4th ed. (1993), as quoted by WebElements; transcribed from Wikipedia 'Electronegativities of the elements (data page)', accessed 2026-09-14; NOTE: the source does not state the oxidation state of this value (INFERRED, not verified: Allred's M(II) value); extraction chemistry is Mo(VI) -- state-independent use is not justified",,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,"NA_REASON: Schwerdtfeger & Nagle, Mol. Phys. 117 (2019) 1200, doi:10.1080/00268976.2018.1535143 (2018 table) could not be opened during this build (tandfonline/ingentaconnect HTTP 403; ctcp.massey.ac.nz and github.com unresolvable from the build host); values are not transcribed from memory"
Tc,7,Tc(VII),transition_metal(VII),archive,True,True,,43,definition: IUPAC atomic number,technetium,definition: IUPAC English element name,5,definition: IUPAC periodic table row,7,definition: IUPAC group 1-18,d,definition: Aufbau block; La/Lu/Ac labelled f as series members (convention of gen11 metalrep.PERIODIC_TABLE),transition_metal,"gen19 convention = dataset_all_metals/scripts/sae_chem.py metal_category (Y, Sc rare_earth_non_lanthanide; Cd post_transition_metal)",none,"definition: Ln = La-Lu (Z 57-71), An = Ac-Lr (Z 89-103), else none",,NA_REASON: not a lanthanide or actinide,archive: dataset_all_metals master_clean metal_oxidation_state,7,definition: formal ionic charge = oxidation state,pertechnetate,definition: Tc(VII) is the TcO4- oxoanion in aqueous media,-1,definition: TcO4- (same as gen11 OXO_SPECIES_CHARGE),,NA_REASON: anion; no cationic effective charge,0,"definition (ionic model): noble-gas core + (n-2)f/(n-1)d occupancy from Z and oxidation state; f = Z-54-z (Ln), Z-86-z (An); d = group-z (d-block)",0,"definition (ionic model): noble-gas core + (n-2)f/(n-1)d occupancy from Z and oxidation state; f = Z-54-z (Ln), Z-86-z (An); d = group-z (d-block)",[Kr],"definition (ionic model): noble-gas core + (n-2)f/(n-1)d occupancy from Z and oxidation state; f = Z-54-z (Ln), Z-86-z (An); d = group-z (d-block)",0.56,"Shannon, R. D. Acta Cryst. A32 (1976) 751-767, Table 1, effective ionic radius (IR), CN=VI",,NA_REASON: Shannon (1976) does not tabulate Tc(VII) at CN=8,,NA_REASON: Shannon (1976) does not tabulate Tc(VII) at CN=9,1.9,"Pauling scale; Allred, J. Inorg. Nucl. Chem. 17 (1961) 215 and Huheey, Keiter & Keiter, Inorganic Chemistry 4th ed. (1993), as quoted by WebElements; transcribed from Wikipedia 'Electronegativities of the elements (data page)', accessed 2026-09-14",,NA_REASON: Tc(VII) exists as the TcO4- anion; an acid class is not meaningful,,"NA_REASON: Schwerdtfeger & Nagle, Mol. Phys. 117 (2019) 1200, doi:10.1080/00268976.2018.1535143 (2018 table) could not be opened during this build (tandfonline/ingentaconnect HTTP 403; ctcp.massey.ac.nz and github.com unresolvable from the build host); values are not transcribed from memory"
Ru,,,,archive,True,,,44,definition: IUPAC atomic number,ruthenium,definition: IUPAC English element name,5,definition: IUPAC periodic table row,8,definition: IUPAC group 1-18,d,definition: Aufbau block; La/Lu/Ac labelled f as series members (convention of gen11 metalrep.PERIODIC_TABLE),transition_metal,"gen19 convention = dataset_all_metals/scripts/sae_chem.py metal_category (Y, Sc rare_earth_non_lanthanide; Cd post_transition_metal)",none,"definition: Ln = La-Lu (Z 57-71), An = Ac-Lr (Z 89-103), else none",,NA_REASON: not a lanthanide or actinide,NA_REASON: archive did not record an oxidation state for these rows,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,2.2,"Pauling scale; Allred, J. Inorg. Nucl. Chem. 17 (1961) 215 and Huheey, Keiter & Keiter, Inorganic Chemistry 4th ed. (1993), as quoted by WebElements; transcribed from Wikipedia 'Electronegativities of the elements (data page)', accessed 2026-09-14",,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,"NA_REASON: Schwerdtfeger & Nagle, Mol. Phys. 117 (2019) 1200, doi:10.1080/00268976.2018.1535143 (2018 table) could not be opened during this build (tandfonline/ingentaconnect HTTP 403; ctcp.massey.ac.nz and github.com unresolvable from the build host); values are not transcribed from memory"
Pd,2,Pd(II),transition_metal(II),archive,True,True,explicit,46,definition: IUPAC atomic number,palladium,definition: IUPAC English element name,5,definition: IUPAC periodic table row,10,definition: IUPAC group 1-18,d,definition: Aufbau block; La/Lu/Ac labelled f as series members (convention of gen11 metalrep.PERIODIC_TABLE),transition_metal,"gen19 convention = dataset_all_metals/scripts/sae_chem.py metal_category (Y, Sc rare_earth_non_lanthanide; Cd post_transition_metal)",none,"definition: Ln = La-Lu (Z 57-71), An = Ac-Lr (Z 89-103), else none",,NA_REASON: not a lanthanide or actinide,archive: dataset_all_metals master_clean metal_oxidation_state,2,definition: formal ionic charge = oxidation state,free_ion,definition: formal bare cation M(z+),2,definition: charge of the bare cation = oxidation state,2,"definition on the Choppin electrostatic scale: bare cation Z_eff = z (Choppin & Rao, Radiochim. Acta 37 (1984) 143-146, doi:10.1524/ract.1984.37.3.143 (NpO2+ 2.2, UO2 2+ 3.2; as quoted in OSTI 1366418))",0,"definition (ionic model): noble-gas core + (n-2)f/(n-1)d occupancy from Z and oxidation state; f = Z-54-z (Ln), Z-86-z (An); d = group-z (d-block)",8,"definition (ionic model): noble-gas core + (n-2)f/(n-1)d occupancy from Z and oxidation state; f = Z-54-z (Ln), Z-86-z (An); d = group-z (d-block)",[Kr] 4d8,"definition (ionic model): noble-gas core + (n-2)f/(n-1)d occupancy from Z and oxidation state; f = Z-54-z (Ln), Z-86-z (An); d = group-z (d-block)",0.86,"Shannon, R. D. Acta Cryst. A32 (1976) 751-767, Table 1, effective ionic radius (IR), CN=VI",,NA_REASON: Shannon (1976) does not tabulate Pd(II) at CN=8,,NA_REASON: Shannon (1976) does not tabulate Pd(II) at CN=9,2.2,"Pauling scale; Allred, J. Inorg. Nucl. Chem. 17 (1961) 215 and Huheey, Keiter & Keiter, Inorganic Chemistry 4th ed. (1993), as quoted by WebElements; transcribed from Wikipedia 'Electronegativities of the elements (data page)', accessed 2026-09-14",soft,"Pearson, J. Am. Chem. Soc. 85 (1963) 3533, hard/borderline/soft acid table as reproduced in Wikipedia 'HSAB theory' (accessed 2026-09-14)",,"NA_REASON: Schwerdtfeger & Nagle, Mol. Phys. 117 (2019) 1200, doi:10.1080/00268976.2018.1535143 (2018 table) could not be opened during this build (tandfonline/ingentaconnect HTTP 403; ctcp.massey.ac.nz and github.com unresolvable from the build host); values are not transcribed from memory"
Pd,4,Pd(IV),transition_metal(IV),archive,True,True,,46,definition: IUPAC atomic number,palladium,definition: IUPAC English element name,5,definition: IUPAC periodic table row,10,definition: IUPAC group 1-18,d,definition: Aufbau block; La/Lu/Ac labelled f as series members (convention of gen11 metalrep.PERIODIC_TABLE),transition_metal,"gen19 convention = dataset_all_metals/scripts/sae_chem.py metal_category (Y, Sc rare_earth_non_lanthanide; Cd post_transition_metal)",none,"definition: Ln = La-Lu (Z 57-71), An = Ac-Lr (Z 89-103), else none",,NA_REASON: not a lanthanide or actinide,archive: dataset_all_metals master_clean metal_oxidation_state,4,definition: formal ionic charge = oxidation state,free_ion,definition: formal bare cation M(z+),4,definition: charge of the bare cation = oxidation state,4,"definition on the Choppin electrostatic scale: bare cation Z_eff = z (Choppin & Rao, Radiochim. Acta 37 (1984) 143-146, doi:10.1524/ract.1984.37.3.143 (NpO2+ 2.2, UO2 2+ 3.2; as quoted in OSTI 1366418))",0,"definition (ionic model): noble-gas core + (n-2)f/(n-1)d occupancy from Z and oxidation state; f = Z-54-z (Ln), Z-86-z (An); d = group-z (d-block)",6,"definition (ionic model): noble-gas core + (n-2)f/(n-1)d occupancy from Z and oxidation state; f = Z-54-z (Ln), Z-86-z (An); d = group-z (d-block)",[Kr] 4d6,"definition (ionic model): noble-gas core + (n-2)f/(n-1)d occupancy from Z and oxidation state; f = Z-54-z (Ln), Z-86-z (An); d = group-z (d-block)",0.615,"Shannon, R. D. Acta Cryst. A32 (1976) 751-767, Table 1, effective ionic radius (IR), CN=VI",,NA_REASON: Shannon (1976) does not tabulate Pd(IV) at CN=8,,NA_REASON: Shannon (1976) does not tabulate Pd(IV) at CN=9,2.2,"Pauling scale; Allred, J. Inorg. Nucl. Chem. 17 (1961) 215 and Huheey, Keiter & Keiter, Inorganic Chemistry 4th ed. (1993), as quoted by WebElements; transcribed from Wikipedia 'Electronegativities of the elements (data page)', accessed 2026-09-14",,NA_REASON: not in Pearson's lists; soft by analogy to Pt4+ is plausible but not standard,,"NA_REASON: Schwerdtfeger & Nagle, Mol. Phys. 117 (2019) 1200, doi:10.1080/00268976.2018.1535143 (2018 table) could not be opened during this build (tandfonline/ingentaconnect HTTP 403; ctcp.massey.ac.nz and github.com unresolvable from the build host); values are not transcribed from memory"
Cd,2,Cd(II),post_transition_metal(II),archive,True,True,recalled,48,definition: IUPAC atomic number,cadmium,definition: IUPAC English element name,5,definition: IUPAC periodic table row,12,definition: IUPAC group 1-18,d,definition: Aufbau block; La/Lu/Ac labelled f as series members (convention of gen11 metalrep.PERIODIC_TABLE),post_transition_metal,"gen19 convention = dataset_all_metals/scripts/sae_chem.py metal_category (Y, Sc rare_earth_non_lanthanide; Cd post_transition_metal)",none,"definition: Ln = La-Lu (Z 57-71), An = Ac-Lr (Z 89-103), else none",,NA_REASON: not a lanthanide or actinide,archive: dataset_all_metals master_clean metal_oxidation_state,2,definition: formal ionic charge = oxidation state,free_ion,definition: formal bare cation M(z+),2,definition: charge of the bare cation = oxidation state,2,"definition on the Choppin electrostatic scale: bare cation Z_eff = z (Choppin & Rao, Radiochim. Acta 37 (1984) 143-146, doi:10.1524/ract.1984.37.3.143 (NpO2+ 2.2, UO2 2+ 3.2; as quoted in OSTI 1366418))",0,"definition (ionic model): noble-gas core + (n-2)f/(n-1)d occupancy from Z and oxidation state; f = Z-54-z (Ln), Z-86-z (An); d = group-z (d-block)",10,"definition (ionic model): noble-gas core + (n-2)f/(n-1)d occupancy from Z and oxidation state; f = Z-54-z (Ln), Z-86-z (An); d = group-z (d-block)",[Kr] 4d10,"definition (ionic model): noble-gas core + (n-2)f/(n-1)d occupancy from Z and oxidation state; f = Z-54-z (Ln), Z-86-z (An); d = group-z (d-block)",0.95,"Shannon, R. D. Acta Cryst. A32 (1976) 751-767, Table 1, effective ionic radius (IR), CN=VI",1.1,"Shannon, R. D. Acta Cryst. A32 (1976) 751-767, Table 1, effective ionic radius (IR), CN=VIII",,NA_REASON: Shannon (1976) does not tabulate Cd(II) at CN=9,1.69,"Pauling scale; Allred, J. Inorg. Nucl. Chem. 17 (1961) 215 and Huheey, Keiter & Keiter, Inorganic Chemistry 4th ed. (1993), as quoted by WebElements; transcribed from Wikipedia 'Electronegativities of the elements (data page)', accessed 2026-09-14",soft,"Pearson, J. Am. Chem. Soc. 85 (1963) 3533, Table I (standard textbook list; not re-checked against the printed table in this build)",,"NA_REASON: Schwerdtfeger & Nagle, Mol. Phys. 117 (2019) 1200, doi:10.1080/00268976.2018.1535143 (2018 table) could not be opened during this build (tandfonline/ingentaconnect HTTP 403; ctcp.massey.ac.nz and github.com unresolvable from the build host); values are not transcribed from memory"
In,3,In(III),post_transition_metal(III),archive,True,True,recalled,49,definition: IUPAC atomic number,indium,definition: IUPAC English element name,5,definition: IUPAC periodic table row,13,definition: IUPAC group 1-18,p,definition: Aufbau block; La/Lu/Ac labelled f as series members (convention of gen11 metalrep.PERIODIC_TABLE),post_transition_metal,"gen19 convention = dataset_all_metals/scripts/sae_chem.py metal_category (Y, Sc rare_earth_non_lanthanide; Cd post_transition_metal)",none,"definition: Ln = La-Lu (Z 57-71), An = Ac-Lr (Z 89-103), else none",,NA_REASON: not a lanthanide or actinide,archive: dataset_all_metals master_clean metal_oxidation_state,3,definition: formal ionic charge = oxidation state,free_ion,definition: formal bare cation M(z+),3,definition: charge of the bare cation = oxidation state,3,"definition on the Choppin electrostatic scale: bare cation Z_eff = z (Choppin & Rao, Radiochim. Acta 37 (1984) 143-146, doi:10.1524/ract.1984.37.3.143 (NpO2+ 2.2, UO2 2+ 3.2; as quoted in OSTI 1366418))",0,"definition (ionic model): noble-gas core + (n-2)f/(n-1)d occupancy from Z and oxidation state; f = Z-54-z (Ln), Z-86-z (An); d = group-z (d-block)",10,"definition (ionic model): noble-gas core + (n-2)f/(n-1)d occupancy from Z and oxidation state; f = Z-54-z (Ln), Z-86-z (An); d = group-z (d-block)",[Kr] 4d10,"definition (ionic model): noble-gas core + (n-2)f/(n-1)d occupancy from Z and oxidation state; f = Z-54-z (Ln), Z-86-z (An); d = group-z (d-block)",0.8,"Shannon, R. D. Acta Cryst. A32 (1976) 751-767, Table 1, effective ionic radius (IR), CN=VI",0.92,"Shannon, R. D. Acta Cryst. A32 (1976) 751-767, Table 1, effective ionic radius (IR), CN=VIII",,NA_REASON: Shannon (1976) does not tabulate In(III) at CN=9,1.78,"Pauling scale; Allred, J. Inorg. Nucl. Chem. 17 (1961) 215 and Huheey, Keiter & Keiter, Inorganic Chemistry 4th ed. (1993), as quoted by WebElements; transcribed from Wikipedia 'Electronegativities of the elements (data page)', accessed 2026-09-14",hard,"Pearson, J. Am. Chem. Soc. 85 (1963) 3533, Table I (standard textbook list; not re-checked against the printed table in this build)",,"NA_REASON: Schwerdtfeger & Nagle, Mol. Phys. 117 (2019) 1200, doi:10.1080/00268976.2018.1535143 (2018 table) could not be opened during this build (tandfonline/ingentaconnect HTTP 403; ctcp.massey.ac.nz and github.com unresolvable from the build host); values are not transcribed from memory"
Ba,,,,archive,True,,,56,definition: IUPAC atomic number,barium,definition: IUPAC English element name,6,definition: IUPAC periodic table row,2,definition: IUPAC group 1-18,s,definition: Aufbau block; La/Lu/Ac labelled f as series members (convention of gen11 metalrep.PERIODIC_TABLE),alkaline_earth,"gen19 convention = dataset_all_metals/scripts/sae_chem.py metal_category (Y, Sc rare_earth_non_lanthanide; Cd post_transition_metal)",none,"definition: Ln = La-Lu (Z 57-71), An = Ac-Lr (Z 89-103), else none",,NA_REASON: not a lanthanide or actinide,NA_REASON: archive did not record an oxidation state for these rows,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,0.89,"Pauling scale; Allred, J. Inorg. Nucl. Chem. 17 (1961) 215 and Huheey, Keiter & Keiter, Inorganic Chemistry 4th ed. (1993), as quoted by WebElements; transcribed from Wikipedia 'Electronegativities of the elements (data page)', accessed 2026-09-14",,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,"NA_REASON: Schwerdtfeger & Nagle, Mol. Phys. 117 (2019) 1200, doi:10.1080/00268976.2018.1535143 (2018 table) could not be opened during this build (tandfonline/ingentaconnect HTTP 403; ctcp.massey.ac.nz and github.com unresolvable from the build host); values are not transcribed from memory"
Ba,2,Ba(II),alkaline_earth(II),archive,True,True,analogy,56,definition: IUPAC atomic number,barium,definition: IUPAC English element name,6,definition: IUPAC periodic table row,2,definition: IUPAC group 1-18,s,definition: Aufbau block; La/Lu/Ac labelled f as series members (convention of gen11 metalrep.PERIODIC_TABLE),alkaline_earth,"gen19 convention = dataset_all_metals/scripts/sae_chem.py metal_category (Y, Sc rare_earth_non_lanthanide; Cd post_transition_metal)",none,"definition: Ln = La-Lu (Z 57-71), An = Ac-Lr (Z 89-103), else none",,NA_REASON: not a lanthanide or actinide,archive: dataset_all_metals master_clean metal_oxidation_state,2,definition: formal ionic charge = oxidation state,free_ion,definition: formal bare cation M(z+),2,definition: charge of the bare cation = oxidation state,2,"definition on the Choppin electrostatic scale: bare cation Z_eff = z (Choppin & Rao, Radiochim. Acta 37 (1984) 143-146, doi:10.1524/ract.1984.37.3.143 (NpO2+ 2.2, UO2 2+ 3.2; as quoted in OSTI 1366418))",0,"definition (ionic model): noble-gas core + (n-2)f/(n-1)d occupancy from Z and oxidation state; f = Z-54-z (Ln), Z-86-z (An); d = group-z (d-block)",0,"definition (ionic model): noble-gas core + (n-2)f/(n-1)d occupancy from Z and oxidation state; f = Z-54-z (Ln), Z-86-z (An); d = group-z (d-block)",[Xe],"definition (ionic model): noble-gas core + (n-2)f/(n-1)d occupancy from Z and oxidation state; f = Z-54-z (Ln), Z-86-z (An); d = group-z (d-block)",1.35,"Shannon, R. D. Acta Cryst. A32 (1976) 751-767, Table 1, effective ionic radius (IR), CN=VI",1.42,"Shannon, R. D. Acta Cryst. A32 (1976) 751-767, Table 1, effective ionic radius (IR), CN=VIII",1.47,"Shannon, R. D. Acta Cryst. A32 (1976) 751-767, Table 1, effective ionic radius (IR), CN=IX",0.89,"Pauling scale; Allred, J. Inorg. Nucl. Chem. 17 (1961) 215 and Huheey, Keiter & Keiter, Inorganic Chemistry 4th ed. (1993), as quoted by WebElements; transcribed from Wikipedia 'Electronegativities of the elements (data page)', accessed 2026-09-14",hard,"INFERRED by analogy within Pearson (1963) classes: alkaline-earth cation like Ca2+, Sr2+",,"NA_REASON: Schwerdtfeger & Nagle, Mol. Phys. 117 (2019) 1200, doi:10.1080/00268976.2018.1535143 (2018 table) could not be opened during this build (tandfonline/ingentaconnect HTTP 403; ctcp.massey.ac.nz and github.com unresolvable from the build host); values are not transcribed from memory"
La,,,,archive,True,,,57,definition: IUPAC atomic number,lanthanum,definition: IUPAC English element name,6,definition: IUPAC periodic table row,,NA_REASON: f-block element; group left NA by gen19 convention,f,definition: Aufbau block; La/Lu/Ac labelled f as series members (convention of gen11 metalrep.PERIODIC_TABLE),lanthanide,"gen19 convention = dataset_all_metals/scripts/sae_chem.py metal_category (Y, Sc rare_earth_non_lanthanide; Cd post_transition_metal)",Ln,"definition: Ln = La-Lu (Z 57-71), An = Ac-Lr (Z 89-103), else none",0,definition: Ln Z-57 (La=0..Lu=14); An Z-89 (Ac=0..Cf=9),NA_REASON: archive did not record an oxidation state for these rows,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,1.1,"Pauling scale; Allred, J. Inorg. Nucl. Chem. 17 (1961) 215 and Huheey, Keiter & Keiter, Inorganic Chemistry 4th ed. (1993), as quoted by WebElements; transcribed from Wikipedia 'Electronegativities of the elements (data page)', accessed 2026-09-14",,NA_REASON: oxidation state not recorded; ion-level descriptor undefined,,"NA_REASON: Schwerdtfeger & Nagle, Mol. Phys. 117 (2019) 1200, doi:10.1080/00268976.2018.1535143 (2018 table) could not be opened during this build (tandfonline/ingentaconnect HTTP 403; ctcp.massey.ac.nz and github.com unresolvable from the build host); values are not transcribed from memory"
